#i	X	Y	Z
0	-15.263	-1.683	10.813
0	-15.315	-1.694	10.898
0	-15.368	-1.706	10.982
0	-15.420	-1.717	11.067
0	-15.473	-1.728	11.151
0	-15.525	-1.739	11.236
0	-15.577	-1.750	11.320
0	-15.630	-1.760	11.405
0	-15.682	-1.771	11.489
0	-15.734	-1.782	11.574
0	-15.787	-1.793	11.658
0	-15.839	-1.804	11.743
0	-15.891	-1.815	11.827
0	-15.944	-1.825	11.912
0	-15.996	-1.836	11.996
