8.33136e+12   1.00000e-12   1.41458e-12
1.33450e+13   2.42626e-12   3.17755e-12
2.24070e+13   5.88673e-12   8.01246e-12
3.42395e+13   1.17796e-11   1.54271e-11
6.94116e+13   2.74999e-11   3.74302e-11
1.40714e+14   4.71672e-11   6.17725e-11
2.47663e+14   6.29743e-11   7.78419e-11
4.78968e+14   8.09002e-11   9.43834e-11
8.83673e+14   1.01946e-10   1.33513e-10
1.79142e+15   1.61884e-10   2.77661e-10
3.46451e+15   2.88570e-10   9.16945e-10
5.81709e+15   4.58235e-10   2.59553e-9
1.17926e+16   8.82281e-10   6.41995e-9
2.50598e+16   1.83484e-9    8.90822e-9
3.82931e+16   2.31215e-9    8.24742e-9
5.32528e+16   2.31215e-9    7.06923e-9
7.76293e+16   1.83484e-9    4.80849e-9
1.13164e+17   1.24806e-9    2.91364e-9
1.43222e+17   8.48927e-10   2.14064e-9
1.90008e+17   5.34606e-10   1.51327e-9
2.40477e+17   3.11691e-10   1.32233e-9
3.19034e+17   1.44210e-10   1.37428e-9
4.87506e+17   3.33436e-11   1.57272e-9
5.88601e+17   1.73178e-11   1.69873e-9
1.19324e+18   1.00000e-12   2.31215e-9
2.00350e+18   1.00000e-12   3.39923e-9
1.01782e+19   1.00000e-12   6.05936e-9
1.83412e+19   9.80916e-13   6.41995e-9
5.42020e+19   1.00000e-12   4.90204e-9
1.00000e+20   1.00000e-12   3.02811e-9
3.09777e+20   1.00000e-12   6.11802e-10
9.59615e+20   1.00000e-12   2.02041e-11
