2.17507e+13   5.57531e-11
3.18497e+13   9.33575e-11
5.00948e+13   1.67448e-10
8.26389e+13   3.10840e-10
1.36325e+14   5.20497e-10
2.30313e+14   8.13669e-10
4.08099e+14   1.14736e-9
7.58433e+14   1.36247e-9
1.37631e+15   1.51044e-9
2.55781e+15   1.67448e-9
4.53226e+15   2.12990e-9
8.03086e+15   3.32957e-9
1.32481e+16   5.38695e-9
2.13399e+16   9.02036e-9
3.78129e+16   1.41011e-8
6.70019e+16   1.98842e-8
1.21587e+17   2.12990e-8
2.15443e+17   1.92124e-8
3.81751e+17   1.27197e-8
6.44947e+17   7.33959e-9
9.44398e+17   3.95380e-9
1.38289e+18   1.85634e-9
1.88522e+18   8.42118e-10
2.33631e+18   3.82023e-10
2.89533e+18   1.67448e-10
3.50359e+18   7.09163e-11
4.04227e+18   3.10840e-11
4.66377e+18   1.36247e-11
5.38082e+18   5.20497e-12
6.20813e+18   2.20437e-12
6.82918e+18   1.00000e-12
