1.44093e+5    5.12481e-11
2.67114e+5    1.01180e-10
5.14233e+5    2.09355e-10
8.95076e+5    3.67591e-10
1.76711e+6    7.25740e-10
3.66903e+6    1.46684e-9
7.61795e+6    2.89601e-9
1.66344e+7    5.58507e-9
2.96926e+7    8.72122e-9
4.44327e+7    1.12884e-8
7.35395e+7    1.46112e-8
1.10046e+8    1.72184e-8
1.45186e+8    1.82583e-8
1.96434e+8    1.84737e-8
2.72552e+8    1.76271e-8
3.68756e+8    1.53130e-8
4.62602e+8    1.33027e-8
5.65894e+8    1.12884e-8
6.92249e+8    9.14010e-9
8.68422e+8    6.73787e-9
1.03590e+9    4.96701e-9
1.23567e+9    3.33365e-9
1.47398e+9    2.08538e-9
1.67184e+9    1.46684e-9
1.84909e+9    1.05626e-9
1.99426e+9    7.97128e-10
2.26196e+9    5.22596e-10
2.56561e+9    2.83995e-10
2.91001e+9    1.65583e-10
3.21854e+9    9.21184e-11
3.65059e+9    5.12481e-11
