# log_{10}(E/GeV)  E^{2}J [GeV cm^{-2} sr^{-1} s^{-1}] (zmax = 1, m = 5)
3.7    1.26598e-14 
3.8    7.70767e-15 
3.9    1.25687e-14 
4      2.76656e-14 
4.1    4.03604e-14 
4.2    4.33769e-14 
4.3    7.57507e-14 
4.4    9.17549e-14 
4.5    1.15987e-13 
4.6    1.22325e-13 
4.7    1.87377e-13 
4.8    3.57298e-13 
4.9    3.2307e-13  
5      1.87826e-13 
5.1    3.04223e-13 
5.2    4.49984e-13 
5.3    5.1306e-13  
5.4    9.35514e-13 
5.5    1.21253e-12 
5.6    2.09925e-12 
5.7    2.0637e-12  
5.8    3.44476e-12 
5.9    3.66772e-12 
6      5.51516e-12 
6.1    1.01346e-11 
6.2    1.28204e-11 
6.3    1.53605e-11 
6.4    2.49363e-11 
6.5    3.42772e-11 
6.6    4.11453e-11 
6.7    3.88322e-11 
6.8    4.51591e-11 
6.9    7.4173e-11  
7      8.40134e-11 
7.1    8.34666e-11 
7.2    9.0283e-11  
7.3    9.03292e-11 
7.4    9.0291e-11  
7.5    1.12926e-10 
7.6    1.20844e-10 
7.7    1.21471e-10 
7.8    1.37627e-10 
7.9    1.35329e-10 
8      1.46892e-10 
8.1    1.71846e-10 
8.2    2.18323e-10 
8.3    2.72419e-10 
8.4    3.21837e-10 
8.5    4.10356e-10 
8.6    5.3523e-10  
8.7    6.89688e-10 
8.8    8.70219e-10 
8.9    1.06722e-09 
9      1.30778e-09 
9.1    1.53058e-09 
9.2    1.66903e-09 
9.3    1.74165e-09 
9.4    1.73008e-09 
9.5    1.66619e-09 
9.6    1.51786e-09 
9.7    1.26353e-09 
9.8    9.95641e-10 
9.9    7.56685e-10 
10     5.28838e-10 
10.1   3.34082e-10 
10.2   2.06704e-10 
10.3   1.22343e-10 
10.4   6.59944e-11 
10.5   3.62475e-11 
10.6   1.84011e-11 
10.7   8.36685e-12 
10.8   3.9268e-12  
10.9   1.50807e-12 
