# lg(E/GeV)  E^2 (GeV cm-2 sr-1 s-1)  	(zmax = 5, m = 3) 
3.6500 	  	 4.2776E-11 
3.6644 	  	 4.1935E-11 
3.6789 	  	 4.1175E-11 
3.6933 	  	 4.0492E-11 
3.7077 	  	 3.9883E-11 
3.7221 	  	 3.9345E-11 
3.7366 	  	 3.8874E-11 
3.7510 	  	 3.8468E-11 
3.7654 	  	 3.8122E-11 
3.7799 	  	 3.7835E-11 
3.7943 	  	 3.7603E-11 
3.8087 	  	 3.7421E-11 
3.8231 	  	 3.7288E-11 
3.8376 	  	 3.7201E-11 
3.8520 	  	 3.7154E-11 
3.8664 	  	 3.7147E-11 
3.8809 	  	 3.7175E-11 
3.8953 	  	 3.7235E-11 
3.9097 	  	 3.7324E-11 
3.9241 	  	 3.7439E-11 
3.9386 	  	 3.7576E-11 
3.9530 	  	 3.7732E-11 
3.9674 	  	 3.7905E-11 
3.9819 	  	 3.8090E-11 
3.9963 	  	 3.8285E-11 
4.0107 	  	 3.8486E-11 
4.0252 	  	 3.8691E-11 
4.0396 	  	 3.8895E-11 
4.0540 	  	 3.9096E-11 
4.0684 	  	 3.9291E-11 
4.0829 	  	 3.9476E-11 
4.0973 	  	 3.9648E-11 
4.1117 	  	 3.9804E-11 
4.1262 	  	 3.9941E-11 
4.1406 	  	 4.0055E-11 
4.1550 	  	 4.0143E-11 
4.1694 	  	 4.0203E-11 
4.1839 	  	 4.0230E-11 
4.1983 	  	 4.0221E-11 
4.2127 	  	 4.0174E-11 
4.2272 	  	 4.0086E-11 
4.2416 	  	 3.9951E-11 
4.2560 	  	 3.9769E-11 
4.2704 	  	 3.9540E-11 
4.2849 	  	 3.9271E-11 
4.2993 	  	 3.8968E-11 
4.3137 	  	 3.8639E-11 
4.3282 	  	 3.8292E-11 
4.3426 	  	 3.7932E-11 
4.3570 	  	 3.7567E-11 
4.3714 	  	 3.7204E-11 
4.3859 	  	 3.6850E-11 
4.4003 	  	 3.6512E-11 
4.4147 	  	 3.6197E-11 
4.4292 	  	 3.5913E-11 
4.4436 	  	 3.5665E-11 
4.4580 	  	 3.5462E-11 
4.4724 	  	 3.5310E-11 
4.4869 	  	 3.5216E-11 
4.5013 	  	 3.5188E-11 
4.5157 	  	 3.5232E-11 
4.5302 	  	 3.5355E-11 
4.5446 	  	 3.5565E-11 
4.5590 	  	 3.5869E-11 
4.5734 	  	 3.6279E-11 
4.5879 	  	 3.6812E-11 
4.6023 	  	 3.7485E-11 
4.6167 	  	 3.8314E-11 
4.6312 	  	 3.9315E-11 
4.6456 	  	 4.0506E-11 
4.6600 	  	 4.1902E-11 
4.6744 	  	 4.3521E-11 
4.6889 	  	 4.5378E-11 
4.7033 	  	 4.7491E-11 
4.7177 	  	 4.9876E-11 
4.7322 	  	 5.2549E-11 
4.7466 	  	 5.5528E-11 
4.7610 	  	 5.8827E-11 
4.7755 	  	 6.2465E-11 
4.7899 	  	 6.6458E-11 
4.8043 	  	 7.0822E-11 
4.8187 	  	 7.5574E-11 
4.8332 	  	 8.0729E-11 
4.8476 	  	 8.6306E-11 
4.8620 	  	 9.2314E-11 
4.8765 	  	 9.8721E-11 
4.8909 	  	 1.0548E-10 
4.9053 	  	 1.1254E-10 
4.9197 	  	 1.1985E-10 
4.9342 	  	 1.2737E-10 
4.9486 	  	 1.3504E-10 
4.9630 	  	 1.4281E-10 
4.9775 	  	 1.5064E-10 
4.9919 	  	 1.5848E-10 
5.0063 	  	 1.6628E-10 
5.0207 	  	 1.7399E-10 
5.0352 	  	 1.8156E-10 
5.0496 	  	 1.8895E-10 
5.0640 	  	 1.9609E-10 
5.0785 	  	 2.0295E-10 
5.0929 	  	 2.0948E-10 
5.1073 	  	 2.1562E-10 
5.1217 	  	 2.2133E-10 
5.1362 	  	 2.2656E-10 
5.1506 	  	 2.3126E-10 
5.1650 	  	 2.3541E-10 
5.1795 	  	 2.3910E-10 
5.1939 	  	 2.4245E-10 
5.2083 	  	 2.4557E-10 
5.2227 	  	 2.4858E-10 
5.2372 	  	 2.5158E-10 
5.2516 	  	 2.5471E-10 
5.2660 	  	 2.5806E-10 
5.2805 	  	 2.6176E-10 
5.2949 	  	 2.6592E-10 
5.3093 	  	 2.7065E-10 
5.3237 	  	 2.7607E-10 
5.3382 	  	 2.8230E-10 
5.3526 	  	 2.8944E-10 
5.3670 	  	 2.9762E-10 
5.3815 	  	 3.0695E-10 
5.3959 	  	 3.1754E-10 
5.4103 	  	 3.2950E-10 
5.4247 	  	 3.4296E-10 
5.4392 	  	 3.5802E-10 
5.4536 	  	 3.7481E-10 
5.4680 	  	 3.9333E-10 
5.4825 	  	 4.1344E-10 
5.4969 	  	 4.3496E-10 
5.5113 	  	 4.5772E-10 
5.5258 	  	 4.8152E-10 
5.5402 	  	 5.0620E-10 
5.5546 	  	 5.3158E-10 
5.5690 	  	 5.5748E-10 
5.5835 	  	 5.8373E-10 
5.5979 	  	 6.1014E-10 
5.6123 	  	 6.3654E-10 
5.6268 	  	 6.6275E-10 
5.6412 	  	 6.8860E-10 
5.6556 	  	 7.1390E-10 
5.6700 	  	 7.3849E-10 
5.6845 	  	 7.6217E-10 
5.6989 	  	 7.8478E-10 
5.7133 	  	 8.0614E-10 
5.7278 	  	 8.2607E-10 
5.7422 	  	 8.4439E-10 
5.7566 	  	 8.6093E-10 
5.7710 	  	 8.7567E-10 
5.7855 	  	 8.8872E-10 
5.7999 	  	 9.0023E-10 
5.8143 	  	 9.1033E-10 
5.8288 	  	 9.1917E-10 
5.8432 	  	 9.2687E-10 
5.8576 	  	 9.3359E-10 
5.8720 	  	 9.3944E-10 
5.8865 	  	 9.4458E-10 
5.9009 	  	 9.4913E-10 
5.9153 	  	 9.5324E-10 
5.9298 	  	 9.5705E-10 
5.9442 	  	 9.6069E-10 
5.9586 	  	 9.6429E-10 
5.9730 	  	 9.6800E-10 
5.9875 	  	 9.7195E-10 
6.0019 	  	 9.7628E-10 
6.0163 	  	 9.8113E-10 
6.0308 	  	 9.8664E-10 
6.0452 	  	 9.9293E-10 
6.0596 	  	 1.0001E-09 
6.0740 	  	 1.0083E-09 
6.0885 	  	 1.0171E-09 
6.1029 	  	 1.0267E-09 
6.1173 	  	 1.0368E-09 
6.1318 	  	 1.0472E-09 
6.1462 	  	 1.0580E-09 
6.1606 	  	 1.0690E-09 
6.1751 	  	 1.0800E-09 
6.1895 	  	 1.0909E-09 
6.2039 	  	 1.1017E-09 
6.2183 	  	 1.1122E-09 
6.2328 	  	 1.1222E-09 
6.2472 	  	 1.1317E-09 
6.2616 	  	 1.1405E-09 
6.2761 	  	 1.1485E-09 
6.2905 	  	 1.1556E-09 
6.3049 	  	 1.1617E-09 
6.3193 	  	 1.1667E-09 
6.3338 	  	 1.1704E-09 
6.3482 	  	 1.1727E-09 
6.3626 	  	 1.1735E-09 
6.3771 	  	 1.1729E-09 
6.3915 	  	 1.1709E-09 
6.4059 	  	 1.1677E-09 
6.4203 	  	 1.1633E-09 
6.4348 	  	 1.1579E-09 
6.4492 	  	 1.1515E-09 
6.4636 	  	 1.1443E-09 
6.4781 	  	 1.1363E-09 
6.4925 	  	 1.1276E-09 
6.5069 	  	 1.1184E-09 
6.5213 	  	 1.1086E-09 
6.5358 	  	 1.0985E-09 
6.5502 	  	 1.0881E-09 
6.5646 	  	 1.0775E-09 
6.5791 	  	 1.0668E-09 
6.5935 	  	 1.0561E-09 
6.6079 	  	 1.0455E-09 
6.6223 	  	 1.0351E-09 
6.6368 	  	 1.0250E-09 
6.6512 	  	 1.0153E-09 
6.6656 	  	 1.0060E-09 
6.6801 	  	 9.9709E-10 
6.6945 	  	 9.8852E-10 
6.7089 	  	 9.8022E-10 
6.7233 	  	 9.7210E-10 
6.7378 	  	 9.6411E-10 
6.7522 	  	 9.5618E-10 
6.7666 	  	 9.4824E-10 
6.7811 	  	 9.4022E-10 
6.7955 	  	 9.3205E-10 
6.8099 	  	 9.2366E-10 
6.8243 	  	 9.1500E-10 
6.8388 	  	 9.0598E-10 
6.8532 	  	 8.9654E-10 
6.8676 	  	 8.8661E-10 
6.8821 	  	 8.7613E-10 
6.8965 	  	 8.6502E-10 
6.9109 	  	 8.5322E-10 
6.9254 	  	 8.4066E-10 
6.9398 	  	 8.2728E-10 
6.9542 	  	 8.1299E-10 
6.9686 	  	 7.9780E-10 
6.9831 	  	 7.8178E-10 
6.9975 	  	 7.6501E-10 
7.0119 	  	 7.4757E-10 
7.0264 	  	 7.2957E-10 
7.0408 	  	 7.1107E-10 
7.0552 	  	 6.9217E-10 
7.0696 	  	 6.7295E-10 
7.0841 	  	 6.5350E-10 
7.0985 	  	 6.3391E-10 
