# l, b
-90.00118273716753 -53.99983609636422
-90.00649808274602 -53.999364654332815
-90.0324471505333 -53.99676830240679
-90.14853986649393 -53.984395386383966
-90.32402837493397 -53.986963906033644
-90.53082146244024 -53.99324482876304
-90.76310266665641 -53.98170770189403
-91.05759184191905 -53.99155658082051
-91.33015893330835 -54.103559102865965
-91.46927257641862 -54.24310930990312
-91.60288716246997 -54.35141427623544
-91.74922984111826 -54.457801337445076
-91.8813206620616 -54.529960480774314
-91.99601510162239 -54.57700287417148
-92.12153676660158 -54.60846162831785
-92.26550072322355 -54.65657836533182
-92.38017936071633 -54.70835159890911
-92.45038819588004 -54.748356495418655
-92.5003677464003 -54.785645071481106
-92.54136050076296 -54.812693783229854
-92.59662288047451 -54.835693980180395
-92.69635013992458 -54.853784770858674
-92.85382003334044 -54.8664614635201
-93.00801914024753 -54.88428832741203
-93.16002470625823 -54.90939270055627
-93.32600041007572 -54.92953540129724
-93.52990687052956 -54.955891395767146
-93.74435315529142 -54.98545326382404
-93.90847185597028 -54.997417511121824
-94.08315572976942 -55.00398786237222
-94.29110569870706 -55.01085452648452
-94.49119684685716 -55.02215551215953
-94.67130735990068 -55.03608253191231
-94.81576975144313 -55.052345119513376
-94.97944304351549 -55.08376852563965
-95.13528648388596 -55.12088477869313
-95.30485670424709 -55.158275055767845
-95.46322337639248 -55.19396076160895
-95.59929243023889 -55.23222115748242
-95.73013623506368 -55.272702759695974
-95.86218276477048 -55.311691378274666
-95.99248860512782 -55.35613246557418
-96.0804867017006 -55.396761590112014
-96.14883612985638 -55.43436004913052
-96.20312471656182 -55.46673801593486
-96.24964675615236 -55.49202486074809
-96.30646540607339 -55.519498664436334
-96.36381642891116 -55.54178854629244
-96.41689610121388 -55.55908925275502
-96.46759215283532 -55.57365441460705
-96.52260115117504 -55.59151009196696
-96.57645123897021 -55.612618464874416
-96.61129194299039 -55.627601454501736
-96.64334673738662 -55.640449799887136
-96.69082112271634 -55.65322917522653
-96.74025496684577 -55.66572337036305
-96.78994941779351 -55.68116451751277
-96.83556213924706 -55.7003628015416
-96.87972648018851 -55.72255641375706
-96.92417779581872 -55.74589692315587
-96.96978724037074 -55.76811185023235
-97.00945035251607 -55.7864141568948
-97.06403138464408 -55.808757400279944
-97.12518494521015 -55.829692543621874
-97.19988214876777 -55.849181020932896
-97.27401746351394 -55.865115929803586
-97.35218810514074 -55.87831673873289
-97.44382340332025 -55.890834854137104
-97.53249629475147 -55.905536876294825
-97.63221017345317 -55.92711456360873
-97.73407045503222 -55.948799047495825
-97.84003954975891 -55.967507163326694
-97.93014533350186 -55.97978554717186
-98.02612480094838 -55.987104612142765
-98.12868572289918 -55.99204425481429
-98.23429896798905 -55.99552934101239
-98.33913241111021 -56.000720086003575
-98.44689499609396 -56.00550737691086
-98.58328019804425 -56.00802286600769
-98.68012374905531 -56.00483606166427
-98.7847532826146 -55.990769630844696
-98.86499755381462 -55.980711407535004
-98.94801847897116 -55.973404462620124
-99.05494402361165 -55.96786770029998
-99.13541596896744 -55.964511222545696
-99.22121057830408 -55.957126975510185
-99.32743942619865 -55.94152894402706
-99.40292909846482 -55.92977816305365
-99.48647264432473 -55.91881474249707
-99.58819604795576 -55.90892969525713
-99.6856256724792 -55.900841963453736
-99.79080924875151 -55.890373737872714
-99.89832096969766 -55.87890114254943
-99.99957282875275 -55.870121388657594
-100.08539956581042 -55.86364060533841
-100.16849389040426 -55.85733903007271
-100.26243849726983 -55.84750529831015
-100.37987457693161 -55.83450535957168
-100.53581685493046 -55.82334120360785
-100.66513665661626 -55.81569833410768
-100.808374552558 -55.809788359653425
-100.96377616865449 -55.80301205608334
-101.06513110003836 -55.794625026548445
-101.14709855385411 -55.789042518971904
-101.23319994238213 -55.784005815638245
-101.32710463343696 -55.77883758411923
-101.42799415086382 -55.77322870784689
-101.52528094168986 -55.768400649704596
-101.62145948673681 -55.7650235394478
-101.71158186408786 -55.76117637809652
-101.80820037166461 -55.755151712123784
-101.90714836278252 -55.75097233524807
-102.0137528473155 -55.75018564669552
-102.11843492217642 -55.749699677847104
-102.2191048683687 -55.74821767514549
-102.31143404912848 -55.74725648547898
-102.39062229801131 -55.74556819018457
-102.47312646153893 -55.743418568605435
-102.58840344955888 -55.73981951782039
-102.69576304856699 -55.735766760393375
-102.80247071403973 -55.729379611658864
-102.90423866885519 -55.72264707566364
-103.0275235009058 -55.71640777340005
-103.16088333633806 -55.7098142955179
-103.2781840172753 -55.70356751315071
-103.39241898924496 -55.69782719841585
-103.4923455606516 -55.69178917062845
-103.59241866478965 -55.68516048973652
-103.69964077386099 -55.677204574605604
-103.81520846600873 -55.66681125452888
-103.924493610083 -55.656165721436906
-104.02890120428607 -55.646347472493495
-104.14567090575207 -55.63553025161741
-104.26346106174655 -55.62461678927397
-104.39010198676277 -55.612658240279224
-104.58175438191208 -55.59239574191186
-104.70682020215564 -55.577431603101864
-104.83040223405338 -55.56192521571908
-104.95178946078317 -55.54593296148712
-105.10942687092248 -55.524917315729205
-105.28927643166891 -55.502284026854305
-105.47042688794997 -55.48056996007365
-105.6456488246616 -55.459882315157785
-105.81160683193671 -55.44039686568476
-105.93789938660869 -55.426591938418134
-106.07028366571818 -55.41185019682821
-106.2092184550783 -55.39434266739172
-106.34738565597642 -55.377756743227884
-106.4717169136604 -55.36257835550751
-106.59400001936268 -55.34706222483878
-106.71150792206276 -55.33158840935989
-106.83273171393705 -55.31506408192126
-106.97856586817858 -55.29544038633382
-107.1196219843532 -55.276417250331676
-107.25849988579469 -55.25712339637605
-107.39612006733518 -55.237403945587765
-107.53196775113959 -55.216694483654635
-107.66364709057262 -55.19671000667955
-107.7749517592989 -55.17951615358613
-107.88099654109632 -55.16277451742149
-108.00720027373131 -55.14283892010797
-108.13532960711142 -55.12237651147129
-108.26283689201607 -55.10192436037837
-108.37062658155922 -55.08481530558229
-108.47819878433172 -55.06766623612433
-108.59742264148524 -55.048631822834
-108.71529905401464 -55.029268243099786
-108.82996503042715 -55.00988198983373
-108.94305564409106 -54.99016835864256
-109.05527478042465 -54.97010426805964
-109.16591330884071 -54.95028002005176
-109.27355122040329 -54.93079730673016
-109.37825951239363 -54.91161972822417
-109.48059832227403 -54.892687383730575
-109.58032671975887 -54.87413582096598
-109.67757610475921 -54.855868228143386
-109.77471609751274 -54.83727874715939
-109.87107716366374 -54.8184477134742
-109.96773561507115 -54.79912096081703
-110.06367309888726 -54.77962199766433
-110.1515666472521 -54.76174147052255
-110.23409717394556 -54.74495860389856
-110.32439408801167 -54.72662496267069
-110.41363623213523 -54.708139283872185
-110.5029929723098 -54.688723333716474
-110.59063872120437 -54.669535581770766
-110.6763122274673 -54.65073494865304
-110.76176511905479 -54.631206791311214
-110.8459088005417 -54.61176163443162
-110.92837869750223 -54.592585823113815
-111.0108332742715 -54.57256731537255
-111.0935482042917 -54.55156793379802
-111.17571745124104 -54.5301591509066
-111.25620810901003 -54.509191234729066
-111.33574764620099 -54.48809722772934
-111.41543266160535 -54.46613823518005
-111.49449802275697 -54.44388933787095
-111.57192590795844 -54.42207148894959
-111.64841824907373 -54.40021958166962
-111.72341750304307 -54.378803002976355
-111.79692482223616 -54.35779266465894
-111.86901641622686 -54.337153794363594
-111.94025890381975 -54.316470987918116
-112.01011489686381 -54.29618744220031
-112.07916790640142 -54.27584190109411
-112.1482430606878 -54.25477588365468
-112.21730703363832 -54.23302430738096
-112.28617043567846 -54.210744806422476
-112.35395816897913 -54.188704810068465
-112.42094402797868 -54.16667661972751
-112.48684390866532 -54.14492460815648
-112.55198660560907 -54.123179583157274
-112.6159690829162 -54.101811507433546
-112.6788320315963 -54.080806633394225
-112.74060390534935 -54.06015571575275
-112.80130757083923 -54.039852039584154
-112.86108691708607 -54.0197733805168
-112.92065271978097 -53.99928870151291
-112.98000867233623 -53.97839676696127
-113.03888530739735 -53.957352680097536
-113.09755367948107 -53.93591056808479
-113.15607327848322 -53.91401773100066
-113.21411140306131 -53.892001109512854
-113.2715034177772 -53.8700302240639
-113.32842126047595 -53.84794555414499
-113.38441746777892 -53.82620154388681
-113.43953056468139 -53.80477691770643
-113.4942863741184 -53.783148666355096
-113.54852827123453 -53.761485821879546
-113.60200835859189 -53.7400559298592
-113.65520411245498 -53.718368643453694
-113.70818083057159 -53.69635923260067
-113.76048289430129 -53.67452226510848
-113.81221772069529 -53.652752297529155
-113.86372383519748 -53.63068752995688
-113.9146544311664 -53.60871674448396
-113.96528255714121 -53.58654394875355
-114.01567299255 -53.56410028381309
-114.06581817035217 -53.541397500831366
-114.11570253938349 -53.51845718820412
-114.16497029689302 -53.495702860221755
-114.21358771093749 -53.47318511301888
-114.26188996074862 -53.45051382979891
-114.30987595078483 -53.42769571967653
-114.35724678282193 -53.4051018655072
-114.40414567488531 -53.38256623977976
-114.45062815987258 -53.36002938717561
