# l, b
60.000222538243506 -30.00007601990725
60.00137719052583 -30.00039699987616
60.007149958059905 -30.002002541293983
60.03603392659205 -30.0100005114311
60.180952332993726 -30.04924240184414
60.41446444403487 -30.1094650115189
60.649813948564216 -30.16660543231904
60.88674669820114 -30.220781740703828
61.12495708041186 -30.27214830293113
61.36409028856276 -30.320889006504217
61.60375450929406 -30.36720209494949
61.84354484479824 -30.41127683624506
62.08307641160657 -30.45326614877086
62.32188172763941 -30.493225298825877
62.55470634985328 -30.52985204993294
62.782475599090596 -30.563551265745392
63.00719174232608 -30.594840875328693
63.23011527712763 -30.623910277725795
63.45202951685476 -30.650760103558497
63.67341120948713 -30.67529244927098
63.894540972188096 -30.69736673502466
64.1155744269001 -30.71683236887043
64.33658771500687 -30.733546472714593
64.55760646586887 -30.747382459951456
64.77862418762636 -30.758233296667083
64.99961394864901 -30.766011853977233
65.22053582359887 -30.770649796408865
65.44134167077316 -30.772095836305795
65.66197822671272 -30.770313808291693
65.88238913671144 -30.76528079628067
66.10251643136068 -30.756985392438136
66.32230387209079 -30.745425606048148
66.54169378938538 -30.730608328938324
66.76062561340127 -30.71254878676288
66.97904004122385 -30.691268712040088
67.19687906717165 -30.666795524423932
67.41408603607393 -30.63916162597114
67.63060570754618 -30.6084037914537
67.84638432369688 -30.57456263727626
68.06136967553182 -30.53768215553475
68.27551116514628 -30.497809302238135
68.48875986196771 -30.45499363076705
68.70106855206821 -30.40928696332583
68.91239178005262 -30.360743094515104
69.1226858833451 -30.309417522267417
69.33190901890163 -30.255367202290454
69.54002118251096 -30.198650322893045
69.74698422093627 -30.139326097658525
69.95276183720834 -30.077454573904486
70.15731958942257 -30.013096455250565
70.36062488341842 -29.94631293692204
70.56264695973849 -29.877165552662486
70.76335687527558 -29.80571603232491
70.96272748002305 -29.732026169366314
71.16073338934558 -29.656157697593965
71.35735095218666 -29.578172176608927
71.55255821562535 -29.49813088546841
71.74633488618686 -29.41609472414742
71.93866228830386 -29.332124122426386
72.12952332031283 -29.246278955865485
72.31890240835646 -29.158618468553858
72.50678545854883 -29.069201202340935
72.69315980774249 -28.97808493227256
72.87801417321973 -28.885326607965222
73.0613386016109 -28.790982300660257
73.24312441733608 -28.695107155684543
73.42336417079706 -28.59775535013147
73.6020515865775 -28.498980055497935
73.77918151193002 -28.398833404940707
73.95474986568294 -28.297366465033047
74.1287535877749 -28.194629211747042
74.30119058958027 -28.090670510431867
74.47205970517093 -27.985538099561506
74.64136064363981 -27.879278578029552
74.8090939425962 -27.77193739577353
74.97526092292497 -27.663558847515574
75.13986364488657 -27.554186069412214
75.30290486562032 -27.44386103841144
75.46438799809971 -27.332624574121336
75.62431707157502 -27.220516343001155
75.7826966935288 -27.10757486469227
75.93953201315679 -26.993837520313374
76.09482868637917 -26.879340562551494
76.24859284237735 -26.764119127387474
76.40083105164396 -26.64820724730179
76.55155029552702 -26.531637865814783
76.70075793724345 -26.41444285321984
76.84846169433104 -26.29665302338019
76.99466961250461 -26.178298151463107
77.1393900408776 -26.059406992493635
77.28263160850803 -25.940007300617175
77.42440320222424 -25.820125848967077
77.56471394568513 -25.6997884500396
77.70357317962686 -25.579019976485455
77.84099044324843 -25.45784438223306
77.9769754566869 -25.336284723864697
78.11153810453335 -25.21436318217271
78.24468842034088 -25.092101083828062
78.3764365720759 -24.96951892309923
78.5067928484655 -24.846636383564167
78.63576764619353 -24.723472359763004
78.76337145790013 -24.600044978743895
78.88961486093977 -24.476371621458338
79.01450850685497 -24.352468943966752
79.13806311152386 -24.22835289841895
79.26028944594152 -24.104038753777402
79.38119832759624 -23.979541116255273
79.50080061240438 -23.85487394944374
79.61910718716776 -23.730050594106725
79.73612896252072 -23.60508378762338
79.85187686633452 -23.47998568306199
79.96636183754872 -23.35476786787072
80.07959482040133 -23.229441382173377
80.19158675903007 -23.104016736660245
80.3023485924198 -22.978503930066143
80.41189124967183 -22.852912466229327
80.52022564557247 -22.727251370727107
80.62736267644024 -22.601529207084813
80.73331321623137 -22.475754092556826
80.83808811288557 -22.34993371347913
80.94169818489476 -22.224075340194382
81.04415421807869 -22.098185841551228
81.14546696255267 -21.972271698980745
81.2456471298736 -21.846339020153692
81.34470539035145 -21.720393552222863
81.44265237051434 -21.594440694655773
81.53949865071634 -21.46848551166329
81.63525476287799 -21.3425327442304
81.72993118834997 -21.216586821755826
81.82353835589153 -21.090651873307507
81.91608663975596 -20.964731738501396
82.00758635787547 -20.838829978011237
82.09804777013925 -20.7129498837172
82.18748107675842 -20.587094488501528
82.27589641671243 -20.461266575699476
82.3633038662716 -20.335468688213812
82.44971343759161 -20.209703137301442
82.53513507737516 -20.083972011040554
82.61957866559732 -19.958277182486835
82.70305401429094 -19.83262031752723
82.78557086638882 -19.70700288243971
82.86713889461987 -19.58142615116742
82.9477677004564 -19.455891212315606
83.02746681311035 -19.33039897587947
83.10624568857595 -19.204950179711147
83.18411370871708 -19.079545395733817
83.26108018039727 -18.95418503591077
83.33715433465073 -18.828869357977332
83.41234532589284 -18.70359847094316
83.48666223116868 -18.57837234037267
83.56011404943837 -18.453190793451167
83.63270970089783 -18.328053523845035
83.704458026334 -18.202960096365615
83.77536778651368 -18.077909951450458
83.84544766160525 -17.952902409485823
83.91470625063306 -17.827936675020112
83.98315207096692 -17.70301184098263
84.05079355785267 -17.578126893185136
84.11763906400327 -17.453280715792797
84.18369685930456 -17.328472099479455
84.24897513078194 -17.203699756568152
84.31348198322299 -17.078962353963018
84.37722544151251 -16.954258591042702
84.44021345749294 -16.829587390800505
84.50245392878901 -16.704948375383516
84.56395474905905 -16.580343051517342
84.62472393941316 -16.45577774049794
84.68476998108274 -16.331270625784253
84.74410259859273 -16.20686754458774
84.80273430850688 -16.082671586625096
84.86068237847044 -15.958877424832899
84.91796880698321 -15.835763758985305
84.97461617378606 -15.71360822058518
85.03064301643168 -15.592600265398225
85.08606309158185 -15.47283211726057
85.1408870470644 -15.354334821197243
85.19512396634212 -15.23711001696211
85.248782202853 -15.121146959335725
85.30186975078448 -15.00643007850362
85.35439439773727 -14.892942091759108
85.40636378599214 -14.780665243214601
85.45778543715996 -14.669581789120892
85.50866676242654 -14.559674184444443
85.55901506717598 -14.450925152045071
85.60883755343116 -14.343317705918254
85.65814132145105 -14.236835156542844
85.70693337100558 -14.131461109312545
85.75522060252952 -14.02717946034263
85.80300981823336 -13.923974391327278
85.85030772320073 -13.821830364099858
85.89712092648328 -13.720732115149353
85.94345594219688 -13.620664650190063
85.98931919062012 -13.521613238821036
86.0347169992948 -13.423563409288045
86.07965560412828 -13.326500943351636
86.12414115049675 -13.23041187126139
86.16817969434886 -13.135282466834976
86.2117772033091 -13.04109924264024
86.25492537923431 -12.9478518279776
