# l, b
-90.00077023256412 -70.00008438252067
-90.00471314715713 -70.00059367070436
-90.0244276923665 -70.00313510233812
-90.12307016869259 -70.01578451176943
-90.61794288672452 -70.07755285056963
-91.41456873800144 -70.17083750761863
-92.21478795421311 -70.25635810130744
-93.01485207289082 -70.33288777817363
-93.81016613566318 -70.39934943589282
-94.59630759784879 -70.45526730313932
-95.37014827957759 -70.50098079925677
-96.13022602097227 -70.53744132388913
-96.87634021622877 -70.56582920196053
-97.6089422302958 -70.58727155419953
-98.32869720168397 -70.60272422198916
-99.03626235504021 -70.61295724488312
-99.73220462477471 -70.61858155814572
-100.41698590222019 -70.62008391948952
-101.09097466067637 -70.61785775301219
-101.7544646802862 -70.61222711068967
-102.4076931741076 -70.60346432858373
-103.05085587998911 -70.59180276841826
-103.68411881513236 -70.57744596829679
-104.30762712526987 -70.56057423998733
-104.92151162314617 -70.54134946690763
-105.52589356557354 -70.51991863355774
-106.12088811531356 -70.49641645533477
-106.70660683025451 -70.47096736472915
-107.28315943559454 -70.44368703227603
-107.85065506757958 -70.41468354749273
-108.40920312724225 -70.38405834854952
-108.95891384587567 -70.35190696421762
-109.49989863726594 -70.31831961407387
-110.03227029229991 -70.2833817005783
-110.55614305741575 -70.24717421785297
-111.07163262800266 -70.20977409567377
-111.57885608020717 -70.17125449260334
-112.07793175892407 -70.13168504883367
-112.56897913549179 -70.09113210682003
-113.05211864539963 -70.04965890593469
-113.52747151387055 -70.00732575597154
-113.99515957531247 -69.96419019327446
-114.4553050911872 -69.92030712245578
-114.90803056972986 -69.87572894604801
-115.35345859008012 -69.83050568395421
-115.79171163270725 -69.78468508418663
-116.22291191747803 -69.73831272609368
-116.64718125029748 -69.69143211704484
-117.06464087892525 -69.64408478336281
-117.4754113583125 -69.5963103561491
-117.87961242560378 -69.54814665253579
-118.27736288479107 -69.49962975280462
-118.66878050088829 -69.45079407374294
-119.05398190340196 -69.40167243854667
-119.43308249880455 -69.35229614353425
-119.80619639166805 -69.30269502189674
-120.17343631407861 -69.25289750467908
-120.53491356293108 -69.20293067916188
-120.89073794468655 -69.15282034479256
-121.24101772717142 -69.1025910667989
-121.58585959799507 -69.05226622760205
-121.92536862916847 -69.0018680761372
-122.25964824751382 -68.95141777517816
-122.58880021046552 -68.90093544675591
-122.91292458687877 -68.85044021575308
-123.23211974247258 -68.79995025175181
-123.54648232955336 -68.7494828092064
-123.85610728067986 -68.6990542660086
-124.16107809870748 -68.64866889078667
-124.46107470077688 -68.59787420526965
-124.75605209261258 -68.5465661521779
-125.04608853903007 -68.49478506964175
-125.33126263096459 -68.44256935906051
-125.61165312084422 -68.38995558493123
-125.88733877349918 -68.33697856826586
-126.15839823135013 -68.28367147414068
-126.42490989272238 -68.23006589386169
-126.68695180222714 -68.17619192218103
-126.94460155223634 -68.12207822995191
-127.19793619455665 -68.0677521325735
-127.4470321614773 -68.01323965453989
-127.69196519543361 -67.95856559037878
-127.93281028658518 -67.90375356223791
-128.1696416176632 -67.84882607435286
-128.40253251549177 -67.79380456460987
-128.63155540863286 -67.73870945339769
-128.8567817906464 -67.68356018992569
-129.07828218849778 -67.62837529617109
-129.29612613567923 -67.57317240860378
-129.51038214964436 -67.5179683178268
-129.72111771318717 -67.46277900625691
-129.92839925942351 -67.4076196839637
-130.13229216005976 -67.35250482277331
-130.33286071665793 -67.29744818873729
-130.5301681546271 -67.24246287305867
-130.7242766196942 -67.1875613215612
-130.9152471766236 -67.13275536278212
-131.10313980997506 -67.07805623476195
-131.28801342670374 -67.02347461060195
-131.46992586042305 -66.96902062285363
-131.64893387716415 -66.91470388680092
-131.82509318247878 -66.8605335226924
-131.99845842974497 -66.80651817697681
-132.1690832295456 -66.75266604259184
-132.33702016000055 -66.69898487835374
-132.50232077794263 -66.64548202749167
-132.66503563083612 -66.59216443536884
-132.82521426934568 -66.53903866642986
-132.98290526047023 -66.48611092041136
-133.13815620116375 -66.4333870478508
-133.2910137323714 -66.38087256492736
-133.44152355341603 -66.32857266766506
-133.58973043667433 -66.27649224552923
-133.7356782424887 -66.22463589444314
-133.87940993426446 -66.17300792925226
-134.02096759370687 -66.12161239566117
-134.16039243615685 -66.07045308166691
-134.2977248259872 -66.01953352851183
-134.4330042920256 -65.96885704117712
-134.5662695429736 -65.91842669843798
-134.69755848279263 -65.86824536249966
-134.82690822603288 -65.8183156882329
-134.95435511308193 -65.76864013202648
-135.0799347253122 -65.7192209602738
-135.20368190010993 -65.67006025750928
-135.32563074576854 -65.62115993420959
-135.44581465623247 -65.57252173427487
-135.56426632567863 -65.52414724220304
-135.68101776292346 -65.47603788997084
-135.79610030564706 -65.42819496363376
-135.90954463442483 -65.38061960965747
-136.0213807865594 -65.33331284099127
-136.13163816970695 -65.28627554289523
-136.24034557529214 -65.23950847853116
-136.3475311917078 -65.19301229432719
-136.4532226172952 -65.14678752512566
-136.55744687310283 -65.1008345991232
-136.66023041542076 -65.05515384261199
-136.7615991480898 -65.0097454845298
-136.86157843458432 -64.96460966082763
-136.96019310986807 -64.91974641866167
-137.05746749202362 -64.8751557204172
-137.15342539365534 -64.83083744757147
-137.24809013306728 -64.78679140440164
-137.34148454521682 -64.74301732154474
-137.4336309924459 -64.69951485941527
-137.52455137499152 -64.6562836114862
-137.61426714127737 -64.61332310743929
-137.70279929798926 -64.57063281618947
-137.79016841993666 -64.52821214878902
-137.87639465970258 -64.48606046121569
-137.96149775708534 -64.44417705704993
-138.04549704833434 -64.4025611900455
-138.12841147518358 -64.36121206659777
-138.21025959368535 -64.32012884811355
-138.29105958284782 -64.27931065328681
-138.37082925307953 -64.23875656028365
-138.44958605444396 -64.19846560884041
-138.52734708472812 -64.15843680227798
-138.60412909732761 -64.118669109436
-138.67994446984903 -64.07916510255974
