# l, b
-25.71424604600364 -10.00030528617971
-25.71403635158301 -10.001899749220897
-25.712987980364797 -10.009870743251124
-25.707739862159666 -10.049745413552968
-25.68134077747807 -10.249618894297228
-25.638548732275954 -10.571142010626176
-25.592436980425006 -10.845204278665143
-25.54192371821798 -11.055657787559424
-25.489043431562163 -11.244080159013041
-25.434402262841623 -11.423120313378645
-25.378243218747272 -11.598037439965339
-25.32068138034815 -11.771455088561417
-25.261778702163312 -11.94486663006754
-25.20157315112018 -12.119216694313181
-25.14009176815422 -12.29515811839492
-25.077357108331086 -12.473176706709593
-25.013390549138435 -12.653655640235847
-24.948213880528474 -12.836909614554378
-24.88185218657558 -13.023228829795729
-24.814386582935214 -13.213454645236682
-24.74588887112624 -13.408248730343091
-24.67635856518743 -13.60746924440823
-24.605794519387143 -13.810986064968297
-24.534191759461432 -14.018666655035382
-24.461538668714535 -14.230366867093569
-24.38781471871159 -14.445926101208688
-24.312988923000347 -14.665166235703232
-24.236992231749962 -14.88769739057456
-24.158711751126575 -15.105655681504553
-24.078061730206198 -15.319033513021285
-23.99526281357794 -15.530027449430957
-23.91046620818126 -15.740255237501477
-23.82376746265615 -15.950882275742632
-23.735217953192475 -16.162725368150127
-23.64483443382471 -16.37633667134264
-23.552606941099395 -16.592070635189376
-23.458505297721327 -16.8101366001606
-23.362484428246802 -17.030639519057996
-23.265150858518904 -17.25334869809271
-23.16742386669535 -17.477823748633014
-23.069197940078016 -17.70397391066919
-22.970381578435607 -17.931684888480174
-22.87090103978077 -18.16087279948899
-22.77069126273541 -18.391448458371553
-22.669678236220026 -18.623248984519844
-22.567797753062447 -18.85612291392301
-22.464994657020714 -19.089928984392532
-22.361222240027974 -19.324535376875055
-22.25644167104626 -19.559818964818824
-22.150621544677612 -19.795664491300556
-22.0437373655174 -20.031963904196402
-21.935771094680018 -20.268615705623365
-21.826710733493833 -20.50552434543256
-21.716549933210104 -20.742599668869286
-21.6052876279117 -20.97975641668325
-21.492927688020604 -21.216913774667972
-21.379478592051385 -21.4539949689077
-21.26495311452243 -21.690926902718406
-21.14936802820368 -21.927639831245813
-21.032743819137348 -22.164067069828434
-20.915104413110672 -22.4001447324777
-20.79647691248045 -22.635811497122297
-20.67689134244771 -22.871008394580073
-20.55638040605418 -23.105678618535247
-20.434979247322026 -23.339767354102143
-20.312725222084573 -23.573221622839217
-20.18965767616055 -23.805990142337563
-20.06581773060925 -24.038023198743698
-19.941248073871325 -24.269272530789188
-19.81599276065137 -24.49969122408892
-19.690097017436493 -24.72923361463946
-19.56360705457151 -24.95785520059856
-19.436569884828383 -25.185512561560692
-19.30903314841637 -25.412163284661375
-19.181044944382514 -25.637765896948192
-19.052653668350366 -25.86227980354973
-18.92390785653982 -26.085665231256705
-18.79485603600449 -26.30788317720354
-18.6655465810152 -26.528895362404995
-18.536027575511007 -26.748664189961417
-18.406346681533027 -26.967152707799336
-18.276551013552204 -27.184324575861307
-18.14668701860044 -27.400144037700958
-18.016800362116598 -27.61457589647645
-17.886935819424572 -27.827585495368282
-17.75713717276974 -28.03913870247433
-17.627447113854625 -28.24920190025817
-17.497907151833143 -28.45774197964416
-17.368557526745786 -28.66472633886416
-17.23943712840547 -28.87012288716689
-17.110583420775033 -29.073900053499205
-16.982032371911796 -29.27602680026017
-16.853818389591687 -29.476472642211583
-16.725974262763696 -29.6752076706031
-16.598531109023877 -29.87220258253425
-16.471518328335108 -30.067428715530546
-16.34496356325243 -30.26085808725522
-16.218892665942086 -30.452463440211833
-16.093329672303348 -30.64221829121793
-15.968296783513493 -30.830096985344657
-15.843814355315576 -31.016074753925587
-15.719900895354408 -31.200127776140388
-15.596573068836092 -31.38223324357803
-15.473845712739593 -31.56236942708469
-15.351731858744792 -31.740515745104076
-15.230242764959605 -31.91665283263052
-15.109387956430966 -32.09076260981781
-14.989175274311965 -32.26282834922752
-14.86961093343334 -32.43283474066061
-14.750699587895733 -32.60076795250067
-14.63244440416398 -32.76661568850792
-14.51484714101126 -32.93036723904243
-14.397908235534961 -33.09201352576247
-14.281626894352472 -33.25154713893972
-14.166001188989261 -33.40896236665378
-14.051028154397608 -33.56425521527126
-13.936703889495877 -33.717423420774495
-13.823023658597023 -33.86846645067649
-13.709981992602449 -34.01738549643544
-13.597572788872522 -34.16418345645787
-13.485789408746257 -34.30886490994918
-13.37462477176701 -34.45143608202561
-13.26407144577446 -34.59190480064228
-13.154121732141252 -34.73028044600909
-13.044767745560476 -34.86657389326154
-12.936001487922718 -35.00079744922393
-12.827814915954328 -35.132964784146886
-12.720200002416979 -35.26309085932271
-12.613148790789838 -35.391191851480876
-12.506653443465837 -35.51728507484481
-12.40070628359156 -35.64138890169318
-12.295299830763987 -35.76352268221743
-12.190426830866686 -35.88370666440418
-12.086080280382854 -36.001961914602525
-11.982253445563401 -36.1183102393603
-11.878939876856082 -36.23277410903868
-11.776133419017604 -36.345376583636956
-11.673828217336396 -36.45614124118645
-11.57201872039041 -36.56509210900168
-11.470699679753805 -36.67225359801129
-11.369866147050043 -36.777650440331435
-11.269513468727984 -36.88130763018935
-11.169637278913509 -36.983250368257366
-11.07023349066302 -37.083504009415016
