PGC            HYPERLEDA_NAME                    COUNTERPART_NAME                 OBJECT_TYPE   RA          DEC         (m-M)       ERR_(m-M)    DL[Mpc]     ERR_LN(DL)  Kt          ERR_Kt      
44182          NGC4826                           NGC4826                          G             194.18      21.68       28.22       0.02        4.41        0.010       5.34        0.04        
39346          NGC4236                           NGC4236                          G             184.18      69.46       28.22       0.03        4.41        0.013       9.17        0.34        
48467          NGC5264                           NGC5264                          G             205.40      -29.91      28.24       0.04        4.45        0.017       10.32       0.42        
6430           ESO245-005                        ESO245-005                       G             26.27       -43.60      28.30       0.04        4.57        0.019       10.21       0.09        
42656          IC3687                            IC3687                           G             190.56      38.50       28.30       0.05        4.57        0.024       11.41       0.33        
47368          NGC5204                           NGC5204                          G             202.40      58.42       28.30       0.10        4.58        0.046       9.77        0.32        
21199          ESO059-001                        ESO059-001                       G             112.83      -68.19      28.33       0.02        4.63        0.008       11.28       0.23        
40596          NGC4395                           NGC4395                          G             186.45      33.55       28.39       0.01        4.76        0.004       10.27       0.51        
38739          NGC4151                           NGC4151                          G             182.64      39.41       28.39       1.65        4.77        0.760       7.40        0.06        
45372          UGC08201                          UGC08201                         G             196.60      67.71       28.42       0.02        4.83        0.007       11.72       0.46        
48082          NGC5236                           M83                              G             204.25      -29.87      28.45       0.02        4.90        0.011       4.64        0.07        
53500          ESO273-014                        ESO273-014                       G             224.63      -47.70      28.45       1.24        4.90        0.572       9.93        0.15        
1034           NGC0059                           NGC0059                          G             3.85        -21.44      28.45       0.03        4.90        0.014       10.12       0.15        
9962           ESO115-021                        ESO115-021                       G             39.46       -61.33      28.53       0.01        5.08        0.005       11.12       1.46        
10122          NGC1042                           NGC1042                          G             40.10       -8.43       28.56       1.57        5.15        0.721       8.95        0.19        
46400          NGC5068                           NGC5068                          G             199.73      -21.04      28.56       0.08        5.15        0.037       7.74        0.29        
42863          NGC4656                           NGC4656                          G             190.99      32.17       28.60       0.26        5.24        0.118       10.87       0.10        
35856          NGC3738                           NGC3738                          G             173.95      54.52       28.62       0.02        5.30        0.010       9.62        0.11        
50073          NGC5408                           NGC5408                          G             210.84      -41.38      28.63       0.05        5.32        0.023       11.25       0.53        
166193         PGC166193                         PGC166193                        G             307.88      60.81       28.64       0.20        5.35        0.092       11.20       0.02        
7671           NGC0784                           NGC0784                          G             30.32       28.84       28.65       0.01        5.37        0.003       10.61       0.45        
65603          IC5052                            IC5052                           G             313.02      -69.20      28.71       0.04        5.52        0.017       9.01        0.22        
