PGC            HYPERLEDA_NAME                    COUNTERPART_NAME                 OBJECT_TYPE   RA          DEC         (m-M)       ERR_(m-M)    DL[Mpc]     ERR_LN(DL)  Kt          ERR_Kt      
64723          PGC064723                         PGC064723                        G             306.91      10.76       34.51       0.20        79.6        0.091       11.13       0.10        
31643          ESO264-020                        ESO264-020                       G             159.67      -46.25      34.51       0.20        79.6        0.091       11.15       0.22        
62264          ESO183-008                        ESO183-008                       G             280.39      -54.77      34.51       0.20        79.6        0.092       11.17       0.08        
301880         PGC301880                         PGC301880                        G             247.00      -66.79      34.51       0.20        79.6        0.092       11.20       0.13        
644365         PGC644365                         PGC644365                        G             210.93      -35.81      34.51       0.20        79.6        0.092       11.22       0.10        
70062          PGC070062                         PGC070062                        G             344.10      40.71       34.51       0.20        79.6        0.093       11.23       0.10        
51319          UGC09203                          UGC09203                         G             215.47      39.98       34.51       0.20        79.6        0.091       11.26       0.22        
4666724        2MFGC04463                        2MFGC04463                       G             82.11       16.15       34.51       0.20        79.6        0.091       11.26       0.06        
16453          ESO033-006                        ESO033-006                       G             74.64       -74.75      34.51       0.20        79.6        0.091       11.27       0.04        
67747          IC1412                            IC1412                           G             329.58      -17.18      34.51       0.20        79.6        0.091       11.28       0.11        
45480          IC0849                            IC0849                           G             196.91      -0.94       34.51       0.20        79.6        0.091       11.28       0.21        
50915          UGC09121                          UGC09121                         G             213.80      15.74       34.51       0.20        79.6        0.091       11.33       0.09        
1968262        PGC1968262                        PGC1968262                       G             33.48       31.86       34.51       0.20        79.6        0.092       11.36       0.06        
59348          UGC10646                          UGC10646                         G             254.61      59.12       34.51       0.20        79.6        0.091       11.38       0.13        
20713          UGC03806                          UGC03806                         G             110.09      22.91       34.51       0.20        79.6        0.091       11.42       0.08        
62306          IC4740                            IC4740                           G             280.75      -68.36      34.51       0.20        79.6        0.092       11.46       0.56        
91520          PGC091520                         PGC091520                        G             244.65      1.16        34.51       0.20        79.6        0.091       11.47       0.15        
52605          PGC052605                         PGC052605                        G             220.92      23.02       34.51       0.20        79.6        0.091       11.47       0.09        
75047          PGC075047                         PGC075047                        G             61.93       -62.61      34.51       0.20        79.6        0.092       11.48       0.07        
60170          PGC060170                         PGC060170                        G             260.68      48.19       34.51       0.20        79.6        0.091       11.54       0.08        
3076860        PGC3076860                        PGC3076860                       G             222.89      -52.58      34.51       0.20        79.6        0.092       11.54       0.06        
74300          PGC074300                         PGC074300                        G             47.56       35.25       34.51       0.20        79.6        0.092       11.55       0.04        
5916           UGC01132                          UGC01132                         G             23.88       47.55       34.51       0.20        79.6        0.091       11.55       0.15        
2041247        PGC2041247                        PGC2041247                       G             59.20       33.93       34.51       0.20        79.6        0.091       11.59       0.04        
90872          PGC090872                         PGC090872                        G             132.25      -8.37       34.51       0.20        79.6        0.091       11.60       0.17        
3079473        PGC3079473                        PGC3079473                       G             197.51      -57.93      34.51       0.20        79.6        0.092       11.61       0.08        
5060978        2MASXJ00370122+5226462            2MASXJ00370122+5226462           G             9.26        52.45       34.51       0.20        79.6        0.092       11.62       0.06        
136404         PGC136404                         PGC136404                        G             95.45       11.26       34.51       0.20        79.6        0.091       11.63       0.06        
3081692        PGC3081692                        PGC3081692                       G             151.50      -11.48      34.51       0.20        79.6        0.092       11.63       0.06        
4299           IC1640                            IC1640                           G             17.96       -0.63       34.51       0.20        79.6        0.092       11.64       0.13        
64171          PGC064171                         PGC064171                        G             302.25      8.66        34.51       0.20        79.6        0.091       11.68       0.12        
2427           UGC00427                          UGC00427                         G             10.09       50.33       34.51       0.20        79.6        0.091       11.69       0.12        
19714          NGC2288                           NGC2288                          G             102.72      33.46       34.51       0.20        79.6        0.092       11.71       0.07        
4177           PGC004177                         PGC004177                        G             17.59       32.39       34.51       0.20        79.6        0.092       11.73       0.05        
1977897        PGC1977897                        PGC1977897                       G             36.45       32.05       34.51       0.20        79.6        0.091       11.73       0.05        
3858           PGC003858                         PGC003858                        G             16.30       -28.80      34.51       0.20        79.6        0.091       11.73       0.10        
3099265        PGC3099265                        PGC3099265                       G             305.47      -41.00      34.51       0.20        79.6        0.092       11.73       0.07        
3910           UGC00678                          UGC00678                         G             16.56       3.57        34.51       0.20        79.6        0.091       11.74       0.09        
25450          UGC04754                          UGC04754                         G             136.00      -0.09       34.51       0.18        79.7        0.085       11.74       0.17        
36475          NGC3839                           NGC3839                          G             175.98      10.78       34.51       0.45        79.7        0.205       10.71       0.06        
46633          NGC5104                           NGC5104                          G             200.35      0.34        34.51       0.17        79.8        0.078       9.77        0.05        
9253           NGC0914                           NGC0914                          G             36.52       42.14       34.52       0.17        80.0        0.077       10.23       0.07        
7252           NGC0741                           NGC0741                          G             29.09       5.63        34.52       0.20        80.2        0.091       8.31        0.03        
64450          IC4991                            IC4991                           G             304.60      -41.05      34.52       0.20        80.2        0.091       8.52        0.04        
983            NGC0050                           NGC0050                          G             3.69        -7.35       34.52       0.20        80.2        0.091       8.68        0.07        
1037           NGC0057                           NGC0057                          G             3.88        17.33       34.52       0.20        80.2        0.092       8.71        0.04        
62997          NGC6768                           NGC6768                          G             289.14      -40.21      34.52       0.20        80.2        0.091       8.83        0.06        
46737          NGC5111                           NGC5111                          G             200.74      -12.96      34.52       0.20        80.2        0.090       9.02        0.05        
4736           NGC0467                           NGC0467                          G             19.79       3.30        34.52       0.20        80.2        0.091       9.04        0.04        
12772          NGC1324                           NGC1324                          G             51.26       -5.75       34.52       0.20        80.2        0.091       9.17        0.10        
70179          UGC12287                          UGC12287                         G             344.85      53.74       34.52       0.20        80.2        0.091       9.28        0.07        
61900          NGC6635                           NGC6635                          G             276.90      14.82       34.52       0.20        80.2        0.091       9.36        0.04        
7320           UGC01418                          UGC01418                         G             29.24       40.34       34.52       0.20        80.2        0.091       9.40        0.04        
974            NGC0051                           NGC0051                          G             3.65        48.26       34.52       0.20        80.2        0.090       9.52        0.05        
45629          NGC4996                           NGC4996                          G             197.38      0.86        34.52       0.20        80.2        0.091       9.56        0.07        
2604           NGC0233                           NGC0233                          G             10.90       30.59       34.52       0.20        80.2        0.091       9.66        0.06        
57537          ESO137-002                        ESO137-002                       G             243.40      -60.87      34.52       0.20        80.2        0.091       9.74        0.29        
2298           NGC0183                           NGC0183                          G             9.62        29.51       34.52       0.20        80.2        0.091       9.76        0.05        
4484           NGC0442                           NGC0442                          G             18.66       -1.02       34.52       0.20        80.2        0.091       9.78        0.04        
62957          NGC6761                           NGC6761                          G             288.77      -50.66      34.52       0.20        80.2        0.091       9.80        0.08        
12039          PGC012039                         PGC012039                        G             48.54       42.75       34.52       0.20        80.2        0.092       9.81        0.05        
13015          NGC1335                           NGC1335                          G             52.58       41.57       34.52       0.20        80.2        0.092       9.87        0.04        
24427          ESO563-011                        ESO563-011                       G             130.40      -20.31      34.52       0.20        80.2        0.090       9.90        0.05        
66641          NGC7056                           NGC7056                          G             320.53      18.67       34.52       0.20        80.2        0.090       9.92        0.44        
32611          IC0653                            IC0653                           G             163.03      -0.56       34.52       0.20        80.2        0.091       9.94        0.08        
10850          IC0262                            IC0262                           G             42.93       42.83       34.52       0.20        80.2        0.091       9.94        0.05        
72639          PGC072639                         PGC072639                        G             357.86      20.59       34.52       0.20        80.2        0.091       9.95        0.07        
14324          IC2019                            IC2019                           G             60.47       5.64        34.52       0.20        80.2        0.091       9.96        0.06        
9062           UGC01840                          UGC01840                         G             35.80       41.37       34.52       0.20        80.2        0.091       9.96        0.10        
9983           UGC02111                          UGC02111                         G             39.52       41.79       34.52       0.20        80.2        0.091       9.96        0.05        
4189           NGC0418                           NGC0418                          G             17.65       -30.22      34.52       0.20        80.2        0.091       9.97        0.13        
64127          ESO284-017                        ESO284-017                       G             301.78      -42.81      34.52       0.20        80.2        0.091       9.98        0.06        
620433         PGC620433                         PGC620433                        G             116.61      -37.61      34.52       0.20        80.2        0.091       9.99        0.10        
33230          ESO215-015                        ESO215-015                       G             165.31      -49.91      34.52       0.20        80.2        0.091       10.00       0.11        
67965          UGC11894                          UGC11894                         G             331.03      41.82       34.52       0.20        80.2        0.091       10.01       0.05        
6290           NGC0653                           NGC0653                          G             25.61       35.64       34.52       0.20        80.2        0.091       10.01       0.03        
65193          NGC6947                           NGC6947                          G             310.31      -32.49      34.52       0.20        80.2        0.091       10.02       0.05        
9925           PGC009925                         PGC009925                        G             39.25       25.44       34.52       0.20        80.2        0.091       10.11       0.06        
13885          UGC02867                          UGC02867                         G             57.18       41.87       34.52       0.20        80.2        0.091       10.16       0.05        
23837          PGC023837                         PGC023837                        G             127.41      -17.30      34.52       0.20        80.2        0.091       10.19       0.07        
6809           ESO354-003                        ESO354-003                       G             27.72       -36.01      34.52       0.20        80.2        0.091       10.21       0.11        
6439           IC0154                            IC0154                           G             26.32       10.65       34.52       0.20        80.2        0.091       10.25       0.04        
58684          UGC10500                          UGC10500                         G             249.75      57.72       34.52       0.20        80.2        0.091       10.27       0.10        
20331          UGC03719                          UGC03719                         G             107.76      48.51       34.52       0.20        80.2        0.090       10.33       0.08        
51417          UGC09223                          UGC09223                         G             215.94      40.02       34.52       0.20        80.2        0.091       10.33       0.05        
5351           NGC0557                           NGC0557                          G             21.60       -1.64       34.52       0.20        80.2        0.091       10.40       0.07        
64795          PGC064795                         PGC064795                        G             307.35      -0.17       34.52       0.20        80.2        0.091       10.41       0.06        
1892515        PGC1892515                        PGC1892515                       G             61.52       30.16       34.52       0.20        80.2        0.092       10.42       0.04        
30600          IC0609                            IC0609                           G             156.40      -2.22       34.52       0.20        80.2        0.091       10.43       0.12        
3079664        PGC3079664                        PGC3079664                       G             222.23      -55.65      34.52       0.20        80.2        0.091       10.46       0.05        
5120           NGC0526                           NGC0526                          ?             20.98       -35.07      34.52       0.20        80.2        0.091       10.48       0.05        
24649          PGC024649                         PGC024649                        G             131.62      -11.97      34.52       0.20        80.2        0.091       10.51       0.08        
7331           PGC007331                         PGC007331                        G             29.28       4.56        34.52       0.20        80.2        0.091       10.51       0.05        
14137          NGC1503                           NGC1503                          G             59.14       -66.04      34.52       0.20        80.2        0.091       10.54       0.05        
3563           UGC00615                          UGC00615                         G             14.92       15.33       34.52       0.20        80.2        0.091       10.55       0.05        
19094          UGC03460                          UGC03460                         G             97.00       74.30       34.52       0.20        80.2        0.091       10.56       0.20        
6876           UGC01326                          UGC01326                         G             27.92       8.30        34.52       0.20        80.2        0.091       10.58       0.05        
64359          ESO186-021                        ESO186-021                       G             303.79      -52.72      34.52       0.20        80.2        0.091       10.58       0.13        
34819          NGC3639                           NGC3639                          G             170.40      18.46       34.52       0.20        80.2        0.090       10.60       0.06        
7415           PGC007415                         PGC007415                        G             29.52       3.08        34.52       0.20        80.2        0.091       10.62       0.11        
67337          PGC067337                         PGC067337                        G             326.68      38.50       34.52       0.20        80.2        0.091       10.63       0.03        
58375          ESO043-002                        ESO043-002                       G             247.57      -73.81      34.52       0.20        80.2        0.091       10.67       0.07        
39602          ESO573-010                        ESO573-010                       G             184.75      -20.08      34.52       0.20        80.2        0.091       10.67       0.10        
213322         PGC213322                         PGC213322                        G             86.80       17.56       34.52       0.20        80.2        0.091       10.71       0.06        
3085099        PGC3085099                        PGC3085099                       G             115.92      -38.04      34.52       0.20        80.2        0.091       10.73       0.06        
63269          ESO338-009                        ESO338-009                       G             292.30      -38.30      34.52       0.20        80.2        0.091       10.73       0.06        
22453          NGC2503                           NGC2503                          G             120.15      22.40       34.52       0.20        80.2        0.091       10.74       0.12        
47382          ESO576-064                        ESO576-064                       G             202.44      -21.18      34.52       0.20        80.2        0.091       10.76       0.05        
7298           ESO245-010                        ESO245-010                       G             29.19       -43.97      34.52       0.20        80.2        0.091       10.80       0.17        
90141          PGC090141                         PGC090141                        G             168.30      -67.53      34.52       0.20        80.2        0.091       10.82       0.04        
389662         PGC389662                         PGC389662                        G             200.52      -57.47      34.52       0.20        80.2        0.091       10.83       0.16        
12386          PGC012386                         PGC012386                        G             49.84       41.43       34.52       0.20        80.2        0.091       10.85       0.04        
62542          PGC062542                         PGC062542                        G             283.46      35.00       34.52       0.20        80.2        0.091       10.86       0.05        
47445          ESO576-071                        ESO576-071                       G             202.56      -21.22      34.52       0.20        80.2        0.091       10.87       0.07        
12103          PGC012103                         PGC012103                        G             48.88       41.25       34.52       0.20        80.2        0.091       10.88       0.08        
444231         PGC444231                         PGC444231                        G             167.37      -52.42      34.52       0.20        80.2        0.091       10.89       0.08        
50784          UGC09101                          UGC09101                         G             213.32      27.01       34.52       0.20        80.2        0.091       10.89       0.13        
67207          PGC067207                         PGC067207                        G             325.61      13.90       34.52       0.20        80.2        0.091       10.89       0.06        
50236          PGC050236                         PGC050236                        G             211.32      10.43       34.52       0.20        80.2        0.091       10.89       0.09        
63951          ESO339-016                        ESO339-016                       G             300.03      -40.72      34.52       0.20        80.2        0.091       10.90       0.07        
1048           PGC001048                         PGC001048                        G             19.02       46.73       34.52       0.20        80.2        0.091       10.91       0.06        
9386           PGC009386                         PGC009386                        G             37.04       32.36       34.52       0.20        80.2        0.091       10.92       0.05        
2124695        PGC2124695                        PGC2124695                       G             332.92      38.36       34.52       0.20        80.2        0.091       10.93       0.06        
59435          PGC059435                         PGC059435                        G             255.23      58.94       34.52       0.20        80.2        0.091       10.94       0.05        
4684728        6dFJ0656245-375332                6dFJ0656245-375332               G             104.10      -37.89      34.52       0.20        80.2        0.091       10.96       0.05        
62023          ESO281-005                        ESO281-005                       G             278.32      -47.19      34.52       0.20        80.2        0.090       10.97       0.10        
5036           NGC0505                           NGC0505                          G             20.74       9.47        34.52       0.20        80.2        0.090       10.97       0.10        
2817177        PGC2817177                        PGC2817177                       G             297.31      -54.52      34.52       0.20        80.2        0.091       10.98       0.05        
18692          ESO489-020                        ESO489-020                       G             93.65       -25.80      34.52       0.20        80.2        0.091       10.99       0.10        
155850         PGC155850                         PGC155850                        G             161.71      -45.75      34.52       0.20        80.2        0.091       11.01       0.04        
17165          UGC03295                          UGC03295                         G             80.35       15.24       34.52       0.20        80.2        0.091       11.01       0.11        
17823          UGC03356                          UGC03356                         G             86.77       17.55       34.52       0.20        80.2        0.090       11.02       0.05        
96538          PGC096538                         PGC096538                        G             197.38      -57.47      34.52       0.20        80.2        0.091       11.08       0.12        
158675         PGC158675                         PGC158675                        G             199.40      -5.83       34.52       0.20        80.2        0.091       11.11       0.10        
3565           UGC00617                          UGC00617                         G             14.96       18.01       34.52       0.20        80.2        0.091       11.13       0.08        
170080         PGC170080                         PGC170080                        G             157.21      -3.95       34.52       0.20        80.2        0.091       11.14       0.06        
2586           PGC002586                         PGC002586                        G             10.82       -6.64       34.52       0.20        80.2        0.091       11.16       0.08        
63403          IC4874                            IC4874                           G             294.09      -47.27      34.52       0.20        80.2        0.091       11.17       0.18        
16102          ESO304-021                        ESO304-021                       G             72.42       -42.06      34.52       0.20        80.2        0.091       11.18       0.14        
461860         PGC461860                         PGC461860                        G             165.30      -50.90      34.52       0.20        80.2        0.092       11.18       0.08        
4598           UGC00813                          UGC00813                         G             19.07       46.74       34.52       0.20        80.2        0.091       11.21       0.09        
1586026        PGC1586026                        PGC1586026                       G             278.69      19.26       34.52       0.20        80.2        0.091       11.22       0.06        
23936          IC0509                            IC0509                           G             128.01      24.01       34.52       0.20        80.2        0.091       11.22       0.20        
5135           NGC0526B                          NGC0526B                         G             20.99       -35.07      34.52       0.20        80.2        0.091       11.23       0.05        
1641016        PGC1641016                        PGC1641016                       G             272.88      21.02       34.52       0.20        80.2        0.091       11.24       0.08        
2793311        PGC2793311                        PGC2793311                       G             243.69      -60.93      34.52       0.20        80.2        0.092       11.25       0.17        
3099270        PGC3099270                        PGC3099270                       G             306.05      -50.38      34.52       0.20        80.2        0.091       11.26       0.05        
1144           UGC00164                          UGC00164                         G             4.35        18.08       34.52       0.20        80.2        0.091       11.27       0.13        
5151           UGC00951                          UGC00951                         G             21.06       1.05        34.52       0.20        80.2        0.091       11.28       0.06        
100118         PGC100118                         PGC100118                        G             153.46      -48.93      34.52       0.20        80.2        0.091       11.30       0.12        
7661           PGC007661                         PGC007661                        G             30.29       -56.13      34.52       0.20        80.2        0.091       11.31       0.18        
170032         PGC170032                         PGC170032                        G             38.87       -2.37       34.52       0.20        80.2        0.091       11.31       0.10        
2801435        PGC2801435                        PGC2801435                       G             198.12      -58.49      34.52       0.20        80.2        0.092       11.31       0.07        
66847          NGC7073                           NGC7073                          G             322.36      -11.49      34.52       0.20        80.2        0.091       11.32       0.13        
473276         PGC473276                         PGC473276                        G             305.22      -49.78      34.52       0.20        80.2        0.091       11.33       0.09        
1942705        PGC1942705                        PGC1942705                       G             103.09      31.34       34.52       0.20        80.2        0.091       11.35       0.05        
71253          UGC12567                          UGC12567                         G             350.66      43.97       34.52       0.20        80.2        0.091       11.37       0.15        
72074          PGC072074                         PGC072074                        G             355.10      6.25        34.52       0.20        80.2        0.091       11.38       0.05        
4005           NGC0388                           NGC0388                          G             16.95       32.31       34.52       0.20        80.2        0.091       11.39       0.06        
52635          PGC052635                         PGC052635                        G             221.06      22.75       34.52       0.20        80.2        0.091       11.39       0.11        
51818          UGC09316                          UGC09316                         G             217.58      21.75       34.52       0.20        80.2        0.090       11.40       0.09        
12918          ESO155-036                        ESO155-036                       G             52.03       -56.58      34.52       0.20        80.2        0.091       11.41       0.16        
63368          ESO398-010                        ESO398-010                       G             293.56      -34.14      34.52       0.20        80.2        0.091       11.41       0.14        
63915          ESO233-014                        ESO233-014                       G             299.67      -52.36      34.52       0.20        80.2        0.091       11.42       0.06        
100761         PGC100761                         PGC100761                        G             61.11       6.79        34.52       0.20        80.2        0.090       11.42       0.02        
12624          UGC02696                          UGC02696                         G             50.52       42.17       34.52       0.20        80.2        0.090       11.42       0.14        
2801495        PGC2801495                        PGC2801495                       G             202.47      -57.54      34.52       0.20        80.2        0.091       11.42       0.39        
3461           PGC003461                         PGC003461                        G             14.48       -2.43       34.52       0.20        80.2        0.090       11.46       0.09        
2737639        PGC2737639                        PGC2737639                       G             56.93       70.67       34.52       0.20        80.2        0.091       11.48       0.03        
12505          PGC012505                         PGC012505                        G             50.12       41.49       34.52       0.20        80.2        0.091       11.50       0.03        
3677           PGC003677                         PGC003677                        G             15.43       44.07       34.52       0.20        80.2        0.091       11.51       0.07        
3090269        PGC3090269                        PGC3090269                       G             1.46        17.35       34.52       0.20        80.2        0.091       11.52       0.10        
46924          PGC046924                         PGC046924                        G             201.27      -0.90       34.52       0.20        80.2        0.091       11.54       0.12        
62487          NGC6713                           NGC6713                          G             282.69      33.96       34.52       0.20        80.2        0.091       11.55       0.04        
3015           PGC003015                         PGC003015                        G             12.88       -1.25       34.52       0.20        80.2        0.090       11.56       0.07        
50913          PGC050913                         PGC050913                        G             213.81      15.88       34.52       0.20        80.2        0.091       11.58       0.06        
5060966        2MASXJ19390998+4132393            2MASXJ19390998+4132393           G             294.79      41.54       34.52       0.20        80.2        0.091       11.58       0.07        
69712          UGC12186                          UGC12186                         G             341.80      50.13       34.52       0.20        80.2        0.090       11.59       0.18        
5591           PGC005591                         PGC005591                        G             22.49       -4.70       34.52       0.20        80.2        0.091       11.61       0.06        
87923          PGC087923                         PGC087923                        G             30.26       -5.64       34.52       0.20        80.2        0.091       11.61       0.19        
5097           PGC005097                         PGC005097                        G             20.92       -1.83       34.52       0.20        80.2        0.091       11.65       0.06        
27923          PGC027923                         PGC027923                        G             146.26      64.26       34.52       0.20        80.2        0.091       11.65       0.11        
137746         PGC137746                         PGC137746                        G             20.29       57.66       34.52       0.20        80.2        0.091       11.65       0.05        
138464         PGC138464                         PGC138464                        G             38.57       89.35       34.52       0.20        80.2        0.091       11.65       0.06        
59264          ESO043-007                        ESO043-007                       G             253.95      -76.54      34.52       0.20        80.2        0.091       11.65       0.09        
170180         PGC170180                         PGC170180                        G             178.82      -11.97      34.52       0.20        80.2        0.091       11.66       0.17        
170258         PGC170258                         PGC170258                        G             202.35      -20.29      34.52       0.20        80.2        0.091       11.66       0.25        
51370          NGC5601                           NGC5601                          G             215.72      40.31       34.52       0.20        80.2        0.091       11.71       0.12        
2817232        PGC2817232                        PGC2817232                       G             309.52      -43.39      34.52       0.20        80.2        0.091       11.72       0.06        
36666          UGC06740                          UGC06740                         G             176.45      10.48       34.52       0.20        80.2        0.091       11.74       0.07        
36604          NGC3861                           NGC3861                          G             176.27      19.97       34.53       0.28        80.4        0.130       10.02       0.08        
61036          UGC11021                          UGC11021                         G             268.16      29.06       34.53       0.17        80.5        0.080       10.90       0.04        
32786          NGC3435                           NGC3435                          G             163.70      61.29       34.54       0.03        80.7        0.012       10.76       0.08        
61791          ESO395-002                        ESO395-002                       G             275.61      -35.68      34.54       0.20        80.8        0.090       9.22        0.09        
2793288        PGC2793288                        PGC2793288                       G             243.17      -59.24      34.54       0.20        80.8        0.093       9.28        0.05        
64081          NGC6854                           NGC6854                          G             301.41      -54.38      34.54       0.20        80.8        0.090       9.28        0.05        
3377           NGC0309                           NGC0309                          G             14.18       -9.91       34.54       0.20        80.8        0.090       9.39        0.20        
4075           IC1628                            IC1628                           G             17.20       -28.58      34.54       0.20        80.8        0.090       9.43        0.05        
69724          NGC7379                           NGC7379                          G             341.89      40.24       34.54       0.20        80.8        0.090       9.64        0.04        
71285          UGC12573                          UGC12573                         G             350.80      43.96       34.54       0.20        80.8        0.090       9.64        0.06        
64489          IC4994                            IC4994                           G             304.94      -53.45      34.54       0.20        80.8        0.090       9.74        0.07        
32955          PGC032955                         PGC032955                        G             164.45      -47.84      34.54       0.20        80.8        0.090       9.76        0.04        
5128           NGC0527                           NGC0527                          G             20.99       -35.12      34.54       0.20        80.8        0.090       9.79        0.03        
67181          PGC067181                         PGC067181                        G             325.42      -10.64      34.54       0.20        80.8        0.090       9.82        0.06        
6020           IC1719                            IC1719                           G             24.40       -33.92      34.54       0.20        80.8        0.090       9.84        0.06        
165379         PGC165379                         PGC165379                        G             58.31       60.34       34.54       0.20        80.8        0.090       9.85        0.05        
574            UGC00061                          UGC00061                         G             1.85        47.04       34.54       0.20        80.8        0.090       9.88        0.05        
63884          ESO399-008                        ESO399-008                       G             299.47      -32.47      34.54       0.20        80.8        0.090       9.88        0.05        
64536          PGC064536                         PGC064536                        G             305.46      -49.70      34.54       0.20        80.8        0.090       9.88        0.06        
20595          UGC03785                          UGC03785                         G             109.44      7.95        34.54       0.20        80.8        0.090       9.91        0.04        
163            NGC7810                           NGC7810                          G             0.58        12.97       34.54       0.20        80.8        0.090       9.91        0.04        
63847          PGC063847                         PGC063847                        G             299.17      7.84        34.54       0.20        80.8        0.090       9.92        0.07        
16352          NGC1701                           NGC1701                          G             73.96       -29.88      34.54       0.20        80.8        0.090       9.92        0.06        
47423          ESO576-067                        ESO576-067                       G             202.51      -20.55      34.54       0.20        80.8        0.090       9.93        0.04        
2275539        PGC2275539                        PGC2275539                       G             56.06       46.11       34.54       0.20        80.8        0.090       9.94        0.04        
30655          NGC3243                           NGC3243                          G             156.59      -2.62       34.54       0.20        80.8        0.090       9.96        0.07        
15970          PGC015970                         PGC015970                        G             71.59       -13.35      34.54       0.20        80.8        0.090       10.12       0.06        
68110          UGC11919                          UGC11919                         G             332.04      41.18       34.54       0.20        80.8        0.090       10.13       0.06        
2822           UGC00492                          UGC00492                         G             12.02       -1.57       34.54       0.20        80.8        0.090       10.17       0.05        
63563          UGC11468                          UGC11468                         G             295.85      41.94       34.54       0.20        80.8        0.090       10.21       0.07        
2801988        PGC2801988                        PGC2801988                       G             237.47      -59.02      34.54       0.20        80.8        0.090       10.23       0.06        
24525          PGC024525                         PGC024525                        G             130.99      -12.85      34.54       0.20        80.8        0.090       10.24       0.15        
3079935        PGC3079935                        PGC3079935                       G             241.56      -60.17      34.54       0.20        80.8        0.090       10.27       0.04        
16843          UGC03255                          UGC03255                         G             77.46       7.48        34.54       0.20        80.8        0.090       10.29       0.05        
1340           NGC0079                           NGC0079                          G             5.26        22.57       34.54       0.20        80.8        0.090       10.30       0.06        
58973          IC1231                            IC1231                           G             251.75      58.42       34.54       0.20        80.8        0.090       10.31       0.10        
2247302        PGC2247302                        PGC2247302                       G             50.85       44.58       34.54       0.20        80.8        0.090       10.31       0.04        
169991         PGC169991                         PGC169991                        G             8.17        -2.92       34.54       0.20        80.8        0.090       10.31       0.06        
45055          NGC4931                           NGC4931                          G             195.75      28.03       34.54       0.20        80.8        0.090       10.34       0.05        
23705          UGC04416                          UGC04416                         G             126.82      22.88       34.54       0.20        80.8        0.090       10.34       0.12        
6926           ESO152-029                        ESO152-029                       G             28.06       -56.91      34.54       0.20        80.8        0.090       10.39       0.19        
60487          ESO139-004                        ESO139-004                       G             263.34      -60.78      34.54       0.20        80.8        0.090       10.39       0.09        
68598          PGC068598                         PGC068598                        G             335.10      -48.23      34.54       0.20        80.8        0.090       10.40       0.08        
4254           NGC0414                           NGC0414                          G             17.82       33.11       34.54       0.20        80.8        0.090       10.40       0.04        
