BAT_NAME(BAT105)  HYPERLEDA_NAME             COUNTERPART_NAME           TYPE_AGN       RA        DEC       (m-M)     ERR_(m-M)   DL[Mpc]   ERR_LN(DL)   FLUX(14-195keV)[1E-12erg.cm-2.s-1] ERR_FLUX    FLAG_(m_M)_(Hyperleda/Ned)         
J0947.6-3057      ESO434-040                 MCG-05-23-016              Sy1.9          146.92    -30.95    32.62     0.48        33.4      0.221        209.6                              N/A         H                                  
J1212.9+0702      NGC4180                    NGC4180                    Sy2            183.22    7.03      32.67     0.28        34.2      0.129        17.6                               N/A         H                                  
J1345.5+4139      NGC5290                    NGC5290                    Sy2            206.33    41.69     32.76     0.23        35.6      0.106        14.9                               N/A         H                                  
J2201.9-3152      NGC7172                    NGC7172                    Sy2            330.51    -31.87    32.77     0.44        35.8      0.203        160.0                              N/A         H                                  
J2247.6-1150      NGC7172                    NGC7378                    Sy2            341.90    -11.84    32.77     0.44        35.8      0.203        13.5                               N/A         H                                  
J2035.6-5013      ESO234-050                 ESO234-G050                Sy2            308.87    -50.22    32.81     0.44        36.5      0.203        10.8                               N/A         H                                  
J1635.0-5804      ESO137-034                 ESO137-G034                Sy2            248.82    -58.08    32.87     0.42        37.5      0.193        23.6                               N/A         H                                  
J1652.0-5915A     ESO138-001                 ESO138-G001                Sy2            252.81    -59.24    32.87     0.42        37.5      0.193        19.5                               N/A         H                                  
J1304.3-1022      NGC4939                    NGC4939                    Sy2            196.07    -10.36    32.88     0.24        37.7      0.111        26.5                               N/A         H                                  
J0324.9-0304      NGC1320                    NGC1320                    Sy2            51.23     -3.05     32.94     0.41        38.7      0.189        13.1                               N/A         H                                  
J0543.9-2749      ESO424-012                 MCG-05-14-012              Sy1            85.92     -27.65    32.97     0.40        39.3      0.184        22.7                               N/A         H                                  
J1332.0-7754      ESO021-004                 ESO021-G004                UnknownAGN     202.95    -77.88    32.97     0.40        39.3      0.184        15.7                               N/A         H                                  
J1139.0-3743      NGC3783                    NGC3783                    Sy1.2          174.76    -37.74    33.01     0.40        40.0      0.184        173.8                              N/A         H                                  
J0914.2+4003      NGC2782                    NGC2782                    Sy1            138.55    40.04     33.01     0.40        40.0      0.184        11.9                               N/A         H                                  
J1239.6-0519      NGC4593                    NGC4593                    Sy1            189.91    -5.34     33.04     0.33        40.6      0.152        88.3                               N/A         H                                  
J1106.5+7234      NGC3516                    NGC3516                    Sy1.2          166.67    72.57     33.10     0.38        41.7      0.175        112.4                              N/A         H                                  
J1515.0+4205      NGC5899                    NGC5899                    Sy2            228.78    42.05     33.13     0.22        42.3      0.101        20.4                               N/A         H                                  
J1139.8+3157      NGC3786                    NGC3786                    Sy1.9          174.94    31.96     33.20     0.06        43.7      0.028        14.6                               N/A         H                                  
J1031.7-3451      NGC3281                    NGC3281                    Sy2            157.96    -34.87    33.25     0.35        44.7      0.161        81.2                               N/A         H                                  
J0920.1+3712      IC2461                     IC2461                     Sy2            140.02    37.20     33.25     0.44        44.7      0.203        19.1                               N/A         H                                  
J0251.6-1639      NGC1125                    NGC1125                    Sy2            42.93     -16.67    33.27     0.35        45.1      0.161        16.2                               N/A         H                                  
J2052.0-5704      IC5063                     IC5063                     Sy2            313.02    -57.07    33.33     0.34        46.3      0.157        67.8                               N/A         H                                  
J1937.5-0613      PGC090334                  2MASXJ19373299-0613046     Sy1.5          294.38    -6.22     33.33     0.34        46.3      0.157        25.2                               N/A         H                                  
J0111.4-3808      NGC0424                    NGC424                     Sy1.9          17.86     -38.10    33.41     0.33        48.1      0.152        21.5                               N/A         H                                  
J0444.1+2813      PGC086269                  2MASXJ04440903+2813003     Sy2            71.03     28.23     33.42     0.28        48.3      0.129        49.4                               N/A         H                                  
J0114.4-5522      PGC004461                  NGC454E                    Sy2            18.60     -55.40    33.44     0.32        48.8      0.147        19.0                               N/A         H                                  
J1145.2+5905      UGC06732                   MCG+10-17-061              Sy2            176.43    58.96     33.44     0.33        48.8      0.152        14.7                               N/A         H                                  
J0114.5-3236      IC1657                     IC1657                     Sy2            18.56     -32.66    33.44     0.32        48.8      0.147        12.2                               N/A         H                                  
J1235.6-3954      NGC4507                    NGC4507                    Sy1.9          188.90    -39.92    33.46     0.32        49.2      0.147        184.5                              N/A         H                                  
J0501.9-3239      ESO362-018                 ESO362-18                  Sy1.5          79.88     -32.66    33.49     0.32        49.9      0.147        48.9                               N/A         H                                  
J1253.5-4876      NGC4785                    NGC4785                    Sy2            193.39    -48.76    33.54     0.31        51.1      0.143        15.7                               N/A         H                                  
J0902.0+6007      UGC04730                   Mrk18                      Sy1.9          135.56    60.15     33.56     0.31        51.5      0.143        14.9                               N/A         H                                  
J1024.7-2355      ESO500-034                 ESO500-34                  Sy2            156.17    -23.55    33.59     0.30        52.2      0.138        13.8                               N/A         H                                  
J1048.4-2511      NGC3393                    NGC3393                    Sy2            162.10    -25.15    33.61     0.30        52.7      0.138        27.4                               N/A         H                                  
J1333.5-3401      ESO383-018                 ESO383-18                  Sy2            203.38    -34.03    33.61     0.30        52.7      0.138        18.2                               N/A         H                                  
J0300.1+3674      UGC02456                   Mrk1066                    Sy2            45.02     36.75     33.61     0.30        52.7      0.138        10.0                               N/A         H                                  
J1347.4-6033      PGC4584383                 4U1344-60                  Sy1.9          206.88    -60.60    33.64     0.30        53.5      0.138        111.8                              N/A         H                                  
J0902.7-6816      NGC2788A                   NGC2788A                   Sy2            135.63    -68.22    33.64     0.29        53.5      0.134        21.5                               N/A         H                                  
J1005.9-2305      ESO499-041                 ESO499-G041                Sy1.9          151.45    -23.05    33.64     0.29        53.5      0.134        18.1                               N/A         H                                  
J1351.5-1814      PGC3096295                 2MASXJ13512953-1813468     Sy1.9          207.89    -18.23    33.64     0.30        53.5      0.138        16.3                               N/A         H                                  
J1838.4-6524      ESO103-035                 ESO103-035                 Sy1.9          279.59    -65.43    33.71     0.29        55.2      0.134        106.9                              N/A         H                                  
J0202.4+6824A     PGC089913                  2MASXJ02021731+6821460     UnknownAGN     30.66     68.34     33.71     0.29        55.2      0.134        14.8                               N/A         H                                  
J0837.0+2493      NGC2662                    NGC2662                    Sy1.8          129.49    24.94     33.71     0.29        55.2      0.134        12.3                               N/A         H                                  
J0025.8+6818      N/A                        2MASXJ00253292+6821442     Sy2            6.43      68.40     33.72     0.15        55.5      0.069        19.6                               N/A         N                                  
J0311.2-0855      NGC1241                    NGC1241                    Sy2            47.78     -8.93     33.76     0.28        56.5      0.129        11.6                               N/A         H                                  
J1136.7-6007      N/A                        2MASXJ11364205-6003070     Sy2            174.16    -60.10    33.79     0.15        57.3      0.069        16.5                               N/A         N                                  
J2018.8+4041      N/A                        2MASXJ20183871+4041003     Sy2            304.67    40.68     33.79     0.15        57.3      0.069        26.2                               N/A         N                                  
J0201.0-0648      NGC0788                    NGC788                     Sy2            30.27     -6.82     33.80     0.28        57.5      0.129        77.5                               N/A         H                                  
J0804.2+0507      UGC04203                   Mrk1210                    Sy1.9          121.04    5.11      33.80     0.27        57.5      0.124        57.4                               N/A         H                                  
J0630.7+6342      UGC03478                   UGC03478                   Sy1.2          98.32     63.70     33.82     0.27        58.1      0.124        8.4                                N/A         H                                  
J1844.5-6221      ESO140-043                 Fairall51                  Sy1.5          281.21    -62.39    33.85     0.27        58.9      0.124        36.5                               N/A         H                                  
J1218.5+2952      NGC4253                    Mrk766                     Sy1.5          184.61    29.84     33.85     0.27        58.9      0.124        26.2                               N/A         H                                  
J0835.7-0413      PGC024141                  NGC2617                    Sy1.8          128.91    -4.14     33.87     0.26        59.4      0.120        16.1                               N/A         H                                  
J1252.3-1323      NGC4748                    NGC4748                    Sy1.5          193.03    -13.37    33.87     0.27        59.4      0.124        9.4                                N/A         H                                  
J0325.3-1217      PGC012776                  MCG-02-09-040              Sy2            51.29     -12.28    33.87     0.27        59.4      0.124        8.6                                N/A         H                                  
J0342.0-2115      ESO548-081                 ESO548-G081                Sy1.9          55.53     -21.24    33.89     0.26        60.0      0.120        41.2                               N/A         H                                  
J1032.7-2835      ESO436-034                 ESO436-G034                Sy2            158.21    -28.53    33.91     0.44        60.5      0.203        16.6                               N/A         H                                  
J0615.8+7101      UGC03426                   Mrk3                       Sy1.9          93.91     71.03     33.93     0.26        61.1      0.120        150.1                              N/A         H                                  
J0228.1+3118      NGC0931                    NGC931                     Sy1.5          37.05     31.33     33.95     0.75        61.7      0.345        62.2                               N/A         H                                  
J0951.9-0649      NGC3035                    NGC3035                    Sy1.9          148.01    -6.81     33.95     0.25        61.7      0.115        16.5                               N/A         H                                  
J2009.0-6103      NGC6860                    NGC6860                    Sy1.9          302.20    -61.10    33.97     0.25        62.2      0.115        51.5                               N/A         H                                  
J1029.8-3821      ESO317-038                 ESO317-G038                Sy2            157.40    -38.39    33.99     0.25        62.8      0.115        11.3                               N/A         H                                  
J1306.4-4025A     ESO323-077                 ESO323-077                 Sy1.5          196.65    -40.42    34.01     0.25        63.4      0.115        30.9                               N/A         H                                  
J0250.7+4142      NGC1106                    NGC1106                    Sy2            42.71     41.69     34.05     0.25        64.6      0.115        15.5                               N/A         H                                  
J2028.5+2543      PGC064775                  MCG+04-48-002              Sy2            307.14    25.73     34.07     0.24        65.2      0.111        75.1                               N/A         H                                  
J0304.1-0108      PGC064775                  NGC1194                    Sy2            45.97     -1.11     34.07     0.24        65.2      0.111        36.2                               N/A         H                                  
J1057.6-4765      ESO264-052                 ESO264-G052                Sy1.9          164.39    -47.66    34.07     0.25        65.2      0.115        14.4                               N/A         H                                  
J1613.2-6043      PGC2793282                 WKK6092                    Sy1.5          243.01    -60.66    34.09     0.24        65.8      0.111        31.9                               N/A         H                                  
J0059.4+3150      PGC003575                  Mrk352                     Sy1.2          14.99     31.83     34.09     0.24        65.8      0.111        31.1                               N/A         H                                  
J2127.4+5654      N/A                        SWIFTJ212745.6+565636      Sy1            321.94    56.95     34.10     0.15        66.1      0.069        39.4                               N/A         N                                  
J0446.4+1828      UGC03157                   UGC3157                    Sy1.9          71.63     18.47     34.11     0.24        66.4      0.111        14.8                               N/A         H                                  
J0048.8+3155      NGC0262                    Mrk348                     BeamedAGN      12.20     31.96     34.13     0.23        67.0      0.106        144.8                              N/A         H                                  
J0451.4-0346      PGC016185                  MCG-01-13-025              Sy1.5          72.89     -3.80     34.13     0.24        67.0      0.111        34.2                               N/A         H                                  
J0943.1-4147      ESO315-020                 ESO315-G020                UnknownAGN     145.75    -41.85    34.13     0.24        67.0      0.111        13.3                               N/A         H                                  
J0256.4-3212      ESO417-006                 ESO417-G006                Sy2            44.10     -32.20    34.15     0.23        67.6      0.106        31.1                               N/A         H                                  
J1454.9-5133      PGC3076910                 WKK4438                    Sy1.5          223.82    -51.58    34.15     0.23        67.6      0.106        19.9                               N/A         H                                  
J1253.5-4137      ESO323-032                 ESO323-32                  Sy2            193.35    -41.65    34.15     0.23        67.6      0.106        15.1                               N/A         H                                  
J0502.1+0332      PGC075258                  2MASXJ05020903+0331499     Sy1            75.59     3.53      34.15     0.23        67.6      0.106        14.5                               N/A         H                                  
J0131.8-3307      ESO353-009                 ESO353-G009                Sy2            22.99     -33.11    34.15     0.23        67.6      0.106        14.5                               N/A         H                                  
J0513.8+6627      PGC016931                  CGCG307-007                UnknownAGN     78.39     66.41     34.15     0.23        67.6      0.106        14.3                               N/A         H                                  
J0251.3+5441      PGC166445                  2MFGC02280                 Sy2            42.67     54.72     34.17     0.23        68.2      0.106        24.6                               N/A         H                                  
J0934.7-2156      ESO565-019                 ESO565-G019                Sy2            143.71    -21.93    34.17     0.23        68.2      0.106        20.0                               N/A         H                                  
J0234.1+3233      NGC0973                    NGC973                     Sy2            38.58     32.50     34.19     0.19        68.9      0.087        48.4                               N/A         H                                  
