BAT_NAME(BAT105)  HYPERLEDA_NAME             COUNTERPART_NAME           TYPE_AGN       RA        DEC       (m-M)     ERR_(m-M)   DL[Mpc]   ERR_LN(DL)   FLUX(14-195keV)[1E-12erg.cm-2.s-1] ERR_FLUX    FLAG_(m_M)_(Hyperleda/Ned)         
J1336.0+0304      NGC5231                    NGC5231                    Sy2            203.97    3.01      34.92     0.16        96.4      0.074        10.0                               N/A         H                                  
J1419.0-2639      ESO511-030                 ESO511-G030                Sy1            214.85    -26.64    34.94     0.16        97.3      0.074        39.3                               N/A         H                                  
J0742.5+4948      UGC03973                   Mrk79                      Sy1.5          115.62    49.81     34.98     0.16        99.1      0.074        42.7                               N/A         H                                  
J2235.9+3358      NGC7319                    NGC7319                    Sy2            339.03    33.99     34.99     0.16        99.5      0.074        36.5                               N/A         H                                  
J1204.5+2019      NGC4074                    ARK347                     Sy2            181.11    20.30     34.99     0.16        99.5      0.074        29.2                               N/A         H                                  
J0743.3-2546      PGC086073                  LEDA86073                  Sy1.2          115.80    -25.78    34.99     0.16        99.5      0.074        19.5                               N/A         H                                  
J1033.6+7303      PGC031274                  CGCG333-038                Sy1.9          158.43    73.06     35.00     0.16        100.0     0.074        13.2                               N/A         H                                  
J1127.6-2912      ESO439-009                 ESO439-G009                Sy2            171.86    -29.22    35.02     0.16        100.9     0.074        14.4                               N/A         H                                  
J0532.9+1343      PGC1439494                 2MASXJ05325752+1345092     Sy1.2          83.31     13.72     35.02     0.16        100.9     0.074        14.2                               N/A         H                                  
J1649.3-1739      ESO586-004                 ESO586-G004                UnknownAGN     252.34    -17.66    35.02     0.16        100.9     0.074        10.7                               N/A         H                                  
J1040.7-4619      PGC093974                  2MASXJ10402231-4625264     Sy2            160.10    -46.43    35.03     0.16        101.4     0.074        20.9                               N/A         H                                  
J1408.1-3024      PGC050427                  2MASXJ14080674-3023537     Sy1.9          212.07    -30.38    35.03     0.16        101.4     0.074        15.8                               N/A         H                                  
J1002.2+0300      IC0588                     IC588                      Sy2            150.54    3.00      35.03     0.16        101.4     0.074        8.5                                N/A         H                                  
J0515.3+1854      PGC1574394                 2MASXJ05151978+1854515     Sy2            78.84     18.92     35.04     0.16        101.9     0.074        26.8                               N/A         H                                  
J1826.8+3254      PGC3097193                 2MASXJ18263239+3251300     Sy2            276.63    32.87     35.04     0.16        101.9     0.074        16.7                               N/A         H                                  
J1338.2+0433      NGC5252                    NGC5252                    Sy2            204.57    4.54      35.06     0.16        102.8     0.074        103.2                              N/A         H                                  
J1148.7+2941      PGC036880                  MCG+05-28-032              LINER          177.20    29.65     35.06     0.15        102.8     0.069        24.0                               N/A         H                                  
J0317.2+0116      UGC02638                   MCG+00-09-042              Sy2            49.28     1.27      35.06     0.15        102.8     0.069        15.5                               N/A         H                                  
J2209.1-2747      NGC7214                    NGC7214                    Sy1.9          332.29    -27.79    35.06     0.16        102.8     0.074        13.6                               N/A         H                                  
J1533.2-0836      PGC055410                  MCG-01-40-001              Sy1.9          233.34    -8.71     35.07     0.15        103.3     0.069        31.8                               N/A         H                                  
J1223.7+0238      PGC040220                  Mrk50                      Sy1            185.86    2.68      35.07     0.15        103.3     0.069        21.6                               N/A         H                                  
J1210.7+3819      PGC038759                  KUG1208+386                Sy1.2          182.67    38.32     35.07     0.15        103.3     0.069        20.1                               N/A         H                                  
J0807.9+3859      UGC04229                   Mrk622                     Sy2            121.94    39.05     35.07     0.15        103.3     0.069        10.3                               N/A         H                                  
J1241.6-5748      PGC166252                  WKK1263                    Sy1.5          190.36    -57.84    35.08     0.15        103.8     0.069        44.9                               N/A         H                                  
J1911.9-1710      PGC166591                  IGRJ19118-1707             LINER          287.98    -17.10    35.08     0.15        103.8     0.069        13.8                               N/A         H                                  
J2236.7-1233      PGC069307                  Mrk915                     Sy1.9          339.22    -12.57    35.10     0.15        104.7     0.069        32.3                               N/A         H                                  
J1949.2-1061      PGC090341                  IGRJ19491-1035             Sy1            297.29    -10.61    35.13     0.15        106.2     0.069        14.6                               N/A         H                                  
J0138.6-4001      ESO297-018                 ESO297-018                 Sy2            24.66     -40.01    35.14     0.15        106.7     0.069        67.4                               N/A         H                                  
J1238.9-2720      ESO506-027                 ESO506-G027                Sy2            189.72    -27.29    35.15     0.15        107.2     0.069        90.7                               N/A         H                                  
J2007.0-3433      PGC064126                  ESO399-20                  Sy1.2          301.72    -34.53    35.17     0.15        108.1     0.069        19.7                               N/A         H                                  
J1652.9+0223      NGC6240                    NGC6240                    Sy1.9          253.26    2.40      35.18     0.15        108.6     0.069        69.0                               N/A         H                                  
J0739.7-3142      PGC086063                  2MASXJ07394469-3143024     Sy2            114.90    -31.72    35.18     0.15        108.6     0.069        27.8                               N/A         H                                  
J1621.2+8104      PGC057855                  CGCG367-009                Sy2            244.93    81.06     35.18     0.15        108.6     0.069        19.8                               N/A         H                                  
J0640.4-2554      ESO490-026                 ESO490-IG026               Sy1.2          100.05    -25.90    35.19     0.14        109.1     0.064        39.5                               N/A         H                                  
J1209.5+4702      PGC038613                  Mrk198                     Sy2            182.30    47.04     35.19     0.15        109.1     0.069        23.9                               N/A         H                                  
J1735.7+2045      PGC060537                  2MASXJ17353371+2047470     UnknownAGN     263.91    20.76     35.20     0.14        109.6     0.064        10.7                               N/A         H                                  
J2237.0+2543      IC5233                     IC5233                     UnknownAGN     339.16    25.75     35.20     0.14        109.6     0.064        9.0                                N/A         H                                  
J2240.2+0801      UGC12138                   MCG+01-57-016              Sy1.5          340.06    8.06      35.22     0.14        110.7     0.064        18.6                               N/A         H                                  
J1310.1-1719      PGC170233                  2MASXJ13100789-1711398     Sy2candidate   197.54    -17.19    35.22     0.14        110.7     0.064        16.7                               N/A         H                                  
J0006.2+2012      PGC000473                  Mrk335                     Sy1.2          1.60      20.24     35.22     0.14        110.7     0.064        16.0                               N/A         H                                  
J1433.9+0528      NGC5674                    NGC5674                    Sy2            218.46    5.47      35.23     0.14        111.2     0.064        21.1                               N/A         H                                  
J1719.7+4900      PGC060067                  ARP102B                    BeamedAGN      259.87    48.97     35.23     0.14        111.2     0.064        19.9                               N/A         H                                  
J2138.8-3207      PGC067084                  CGCG493-002                Sy1.5          324.67    32.06     35.23     0.14        111.2     0.064        17.3                               N/A         H                                  
J2305.4+0009      UGC12348                   MCG+00-58-028              Sy2            346.35    0.10      35.23     0.14        111.2     0.064        13.0                               N/A         H                                  
J0038.4+2337      PGC002301                  Mrk344                     Sy2            9.64      23.59     35.23     0.14        111.2     0.064        12.9                               N/A         H                                  
J2156.1+4728      N/A                        2MASXJ21355399+4728217     Sy1.5          324.02    47.45     35.23     0.15        111.2     0.069        22.7                               N/A         N                                  
J1309.2+1139      NGC4992                    NGC4992                    Sy2            197.28    11.64     35.24     0.14        111.7     0.064        54.4                               N/A         H                                  
J1548.5-1344      NGC5995                    NGC5995                    Sy1.9          237.12    -13.77    35.24     0.14        111.7     0.064        35.2                               N/A         H                                  
J0402.4-1807      ESO549-049                 ESO549-G049                Sy1.9          60.58     -18.08    35.24     0.14        111.7     0.064        20.9                               N/A         H                                  
J1204.9+3105      UGC07064                   UGC07064                   Sy1.9          181.23    31.14     35.24     0.14        111.7     0.064        13.5                               N/A         H                                  
J0002.5+0323      NGC7811                    NGC7811                    Sy1.5          0.61      3.37      35.24     0.14        111.7     0.064        10.8                               N/A         H                                  
J2232.4+0814      PGC069098                  Ark557                     Sy1            338.11    8.23      35.25     0.14        112.2     0.064        12.4                               N/A         H                                  
J1331.2-2524      ESO509-038                 ESO509-G038                Sy1.9          202.76    -25.43    35.26     0.14        112.7     0.064        10.4                               N/A         H                                  
J0214.6-0049      NGC0863                    Mrk590                     Sy1.5          33.70     -0.78     35.28     0.14        113.8     0.064        10.7                               N/A         H                                  
J0147.7-66010     ESO080-005                 ESO080-G005                Sy1            26.82     -66.17    35.29     0.14        114.3     0.064        11.5                               N/A         H                                  
J1044.8+3812      UGC05856                   MCG+06-24-008              Sy2            161.19    38.15     35.30     0.14        114.8     0.064        15.1                               N/A         H                                  
J2234.8-2542      ESO533-050                 ESO533-G050                Sy2            338.71    -25.71    35.30     0.14        114.8     0.064        12.6                               N/A         H                                  
J0929.7+6232      PGC026940                  CGCG312-012                Sy2            142.37    62.52     35.31     0.14        115.3     0.064        10.7                               N/A         H                                  
J1629.9+6722      PGC058354                  Mrk885                     Sy1            247.47    67.43     35.31     0.14        115.3     0.064        9.8                                N/A         H                                  
J1638.5-2095      PGC835095                  IGRJ16385-2057             Sy1            249.62    -20.95    35.32     0.14        115.9     0.064        20.3                               N/A         H                                  
J2010.7+4801      2MASXJ20101740+4800214     2MASXJ20101740+4800214     Sy2            302.61    47.96     35.32     0.14        115.9     0.064        14.5                               N/A         H                                  
J0927.3+2301      IC0538                     NGC2885                    Sy1.2          141.85    23.02     35.32     0.14        115.9     0.064        14.0                               N/A         H                                  
J2109.1-0942      PGC089171                  2MASXJ21090996-0940147     Sy1.2          317.28    -9.70     35.33     0.14        116.4     0.064        18.8                               N/A         H                                  
J1139.0-2323      PGC801745                  HE1136-2304                Sy1.9          174.70    -23.35    35.33     0.14        116.4     0.064        15.3                               N/A         H                                  
J0241.6+0711      PGC010201                  Mrk595                     Sy1.5          40.40     7.16      35.33     0.14        116.4     0.064        14.7                               N/A         H                                  
J0800.1+2638      IC0486                     IC0486                     Sy1.9          120.05    26.62     35.35     0.14        117.5     0.064        33.8                               N/A         H                                  
J0308.5-7251      ESO031-008                 ESO031-G008                Sy1.9          47.03     -72.82    35.35     0.14        117.5     0.064        16.4                               N/A         H                                  
J0526.2-2118      ESO553-043                 ESO553-G043                Sy2            81.61     -21.30    35.36     0.14        118.0     0.064        15.8                               N/A         H                                  
J2207.3+1013      NGC7212                    NGC7212NED02               Sy2            331.79    10.20     35.36     0.13        118.0     0.060        12.4                               N/A         H                                  
J2200.9+1032      PGC067822                  Mrk520                     Sy2            330.18    10.56     35.37     0.13        118.6     0.060        32.0                               N/A         H                                  
J1200.2-5350      PGC038038                  LEDA38038                  Sy2            180.67    -53.84    35.38     0.13        119.1     0.060        49.5                               N/A         H                                  
J1114.3+2020      NGC3588                    NGC3588NED01               Sy2            168.53    20.39     35.38     0.14        119.1     0.064        10.5                               N/A         H                                  
J0911.2+4533      PGC2265450                 2MASXJ09112999+4528060     Sy2            137.87    45.49     35.39     0.13        119.7     0.060        18.6                               N/A         H                                  
J1232.0-4802      PGC096527                  2MASXJ12313717-4758019     Sy1.9          187.99    -47.96    35.39     0.13        119.7     0.060        16.0                               N/A         H                                  
J1712.5+3553      PGC059828                  CGCG198-020                Sy1            258.10    35.88     35.39     0.13        119.7     0.060        9.4                                N/A         H                                  
J1800.3+6637      NGC6552                    NGC6552                    Sy2            270.04    66.63     35.40     0.13        120.2     0.060        21.0                               N/A         H                                  
J1344.7+1934      PGC048674                  CGCG102-048                Sy2            206.10    19.53     35.40     0.13        120.2     0.060        18.3                               N/A         H                                  
J2157.2-6942      ESO075-041                 PKS2153-69                 Sy2            329.38    -69.70    35.40     0.13        120.2     0.060        14.8                               N/A         H                                  
J1013.5-3601      ESO374-044                 ESO374-G044                Sy2            153.32    -35.98    35.44     0.13        122.5     0.060        23.5                               N/A         H                                  
J1856.5-7851      ESO025-002                 ESO025-G002                Sy1.9          283.78    -78.88    35.44     0.13        122.5     0.060        9.6                                N/A         H                                  
J0255.2-0011      NGC1142                    NGC1142                    Sy2            43.81     -0.18     35.47     0.13        124.2     0.060        74.3                               N/A         H                                  
J0516.4-1034      PGC017016                  MCG-02-14-009              Sy1.9          79.08     -10.55    35.47     0.13        124.2     0.060        16.5                               N/A         H                                  
J0533.9-1318      PGC017448                  MCG-02-15-004              UnknownAGN     83.49     -13.27    35.47     0.13        124.2     0.060        14.1                               N/A         H                                  
J2242.4-3711      ESO406-004                 ESO406-G004                UnknownAGN     340.60    -37.18    35.48     0.13        124.7     0.060        12.4                               N/A         H                                  
J2254.2+1147A     UGC12243                   UGC12243                   Sy1            343.59    11.77     35.48     0.13        124.7     0.060        11.0                               N/A         H                                  
J2254.2+1147B     UGC12237                   UGC12237                   Sy2            343.55    11.81     35.49     0.13        125.3     0.060        13.0                               N/A         H                                  
J0726.6-3552      PGC096373                  2MASXJ07262635-3554214     Sy2            111.64    -35.89    35.51     0.12        126.5     0.055        18.9                               N/A         H                                  
J0926.2+1244      UGC05025                   Mrk705                     Sy1.2          141.53    12.74     35.51     0.12        126.5     0.055        18.0                               N/A         H                                  
J1905.4+4231      PGC062756                  CGCG229-015                Sy1            286.35    42.51     35.51     0.13        126.5     0.060        10.6                               N/A         H                                  
J0453.4+0404      PGC016263                  CGCG420-015                Sy2            73.34     4.06      35.52     0.12        127.1     0.055        26.3                               N/A         H                                  
J0800.5+2327      PGC022412                  2MASXJ07595347+2323241     Sy1.9          120.00    23.41     35.53     0.12        127.6     0.055        31.6                               N/A         H                                  
J0105.5-4213      PGC003873                  MCG-07-03-007              Sy2            16.35     -42.21    35.53     0.12        127.6     0.055        14.4                               N/A         H                                  
J0452.2+4933      PGC168563                  1RXSJ045205.0+493248       Sy1.5          73.00     49.54     35.54     0.12        128.2     0.055        54.1                               N/A         H                                  
J0134.1-3625      NGC0612                    NGC612                     Sy2            23.49     -36.49    35.54     0.12        128.2     0.055        49.0                               N/A         H                                  
J2223.8+1143      PGC068747                  MCG+02-57-002              Sy1.9          335.97    11.85     35.54     0.12        128.2     0.055        13.2                               N/A         H                                  
J2328.1+0883      NGC7674                    NGC7674                    Sy2            352.03    8.84      35.54     0.12        128.2     0.055        12.6                               N/A         H                                  
J2318.9+0013      NGC7603                    NGC7603                    Sy1            349.73    0.25      35.55     0.12        128.8     0.055        53.0                               N/A         H                                  
J2027.1-0220      PGC064705                  IIZw083                    Sy2            306.73    -2.30     35.55     0.12        128.8     0.055        15.0                               N/A         H                                  
J0149.9-5019      PGC129349                  2MASXJ01492228-5015073     Sy1.2          27.38     -50.33    35.55     0.12        128.8     0.055        13.2                               N/A         H                                  
J1113.6+0936      IC2637                     IC2637                     Sy1.5          168.45    9.55      35.55     0.12        128.8     0.055        12.4                               N/A         H                                  
J2132.0-3343      PGC188965                  6dFJ2132022-334254         Sy1.9          323.02    -33.70    35.57     0.12        130.0     0.055        35.8                               N/A         H                                  
J0918.5+1618      PGC026292                  Mrk704                     Sy1.2          139.61    16.31     35.58     0.12        130.6     0.055        36.8                               N/A         H                                  
J0747.5+6057      UGC04013                   Mrk10                      Sy1.5          116.81    60.92     35.58     0.12        130.6     0.055        15.0                               N/A         H                                  
J1652.3+5554      UGC10593                   UGC10593                   Sy2            253.08    55.91     35.59     0.12        131.2     0.055        13.8                               N/A         H                                  
J1136.0+2132      2MASXJ11362932+2135454     Mrk739E                    Sy1            174.11    21.58     35.60     0.12        131.8     0.055        12.9                               N/A         H                                  
J1121.1-0529      PGC3264128                 2MASXJ11211875-0523349     UnknownAGN     170.29    -5.48     35.60     0.12        131.8     0.055        11.5                               N/A         H                                  
J0358.9+1050      3C098                      3C98                       Sy2            59.73     10.51     35.61     0.12        132.4     0.055        12.3                               N/A         H                                  
J2147.6-5360      PGC129030                  2MASXJ21480531-5359413     UnknownAGN     326.91    -54.00    35.61     0.12        132.4     0.055        11.3                               N/A         H                                  
J1104.4+3812      UGC06132                   Mrk421                     BeamedAGN      166.10    38.21     35.63     0.12        133.7     0.055        141.0                              N/A         H                                  
J1741.4+0375      PGC3096554                 2MASXJ17412808+0348514     Sy1            265.36    3.76      35.63     0.12        133.7     0.055        13.3                               N/A         H                                  
J1445.6+2702      PGC052700                  CGCG164-019                Sy1.9          221.49    27.02     35.64     0.12        134.3     0.055        13.8                               N/A         H                                  
J2150.9+1402      PGC067469                  CGCG427-028                Sy2            327.73    14.09     35.64     0.12        134.3     0.055        12.0                               N/A         H                                  
J0838.4-3557      PGC024297                  Fairall1146                Sy1.5          129.62    -35.99    35.65     0.12        134.9     0.055        31.7                               N/A         H                                  
J1705.1-0148      PGC059569                  UGC10683NED02              Sy1.5          256.27    -1.48     35.65     0.12        134.9     0.055        16.0                               N/A         H                                  
J1648.0-3037      2MASXJ16481523-3035037     2MASXJ16481523-3035037     Sy1            252.07    -30.60    35.66     0.12        135.5     0.055        32.7                               N/A         H                                  
J1303.8+5345      PGC045125                  SBS1301+540                Sy1.5          196.01    53.79     35.66     0.12        135.5     0.055        30.9                               N/A         H                                  
J1210.1-4637      6dFJ1210040-463627         2MASXJ12100404-4636274     Sy1.9          182.57    -46.57    35.66     0.12        135.5     0.055        17.3                               N/A         H                                  
J1535.9+5751      PGC055551                  Mrk290                     Sy1.5          233.97    57.90     35.68     0.12        136.8     0.055        23.8                               N/A         H                                  
J1613.1-0536      PGC3097794                 2MASXJ16125120-0521173     Sy2candidate   243.27    -5.37     35.68     0.12        136.8     0.055        14.6                               N/A         H                                  
J1630.5+3925      PGC097536                  2MASXJ16303265+3923031     Sy2            247.55    39.42     35.69     0.12        137.4     0.055        13.2                               N/A         H                                  
J1352.8+6917      UGC08823                   Mrk279                     Sy1.5          208.26    69.32     35.70     0.12        138.0     0.055        34.7                               N/A         H                                  
J0427.6-1201      PGC015121                  MCG-02-12-017              Sy2candidate   66.90     -12.01    35.72     0.11        139.3     0.051        8.8                                N/A         H                                  
J0300.0-1048      PGC011348                  MCG-02-08-038              Sy1.5          45.02     -10.82    35.73     0.11        140.0     0.051        27.5                               N/A         H                                  
J0516.2-0009      UGC03271                   Ark120                     Sy1            79.06     -0.15     35.75     0.11        141.3     0.051        74.3                               N/A         H                                  
J1158.9+4234      IC0751                     IC0751                     Sy2            179.74    42.59     35.75     0.11        141.3     0.051        13.9                               N/A         H                                  
J1238.6+0928      PGC042235                  VCC1759                    Sy2            189.64    9.48      35.75     0.11        141.3     0.051        12.1                               N/A         H                                  
J1216.1+5050      PGC039277                  Mrk1469                    Sy1.5          184.03    50.79     35.75     0.11        141.3     0.051        8.9                                N/A         H                                  
J1436.4+5846      UGC09412                   Mrk817                     Sy1.2          219.09    58.79     35.76     0.11        141.9     0.051        28.8                               N/A         H                                  
J1321.2+0859      NGC5100                    NGC5100NED02               Sy2            200.28    8.99      35.76     0.11        141.9     0.051        18.3                               N/A         H                                  
J0433.0+0521      UGC03087                   3C120                      BeamedAGN      68.30     5.36      35.78     0.11        143.2     0.051        95.4                               N/A         H                                  
J1145.6-1819      PGC088639                  2MASXJ11454045-1827149     Sy1.2          176.42    -18.46    35.78     0.11        143.2     0.051        48.3                               N/A         H                                  
J1650.5+0434      PGC214543                  LEDA214543                 Sy2            252.66    4.62      35.78     0.11        143.2     0.051        20.8                               N/A         H                                  
J0151.3-3610      ESO354-004                 ESO354-G004                Sy1.9          27.87     -36.13    35.78     0.11        143.2     0.051        11.2                               N/A         H                                  
J1126.7+3514      PGC035210                  Mrk423                     Sy2            171.73    35.25     35.78     0.11        143.2     0.051        10.6                               N/A         H                                  
J1009.3-4250      ESO263-013                 ESO263-G013                Sy2            152.46    -42.81    35.79     0.11        143.9     0.051        29.7                               N/A         H                                  
J0557.9-3822      PGC075476                  2MASXJ05580206-3820043     Sy1.2          89.51     -38.35    35.79     0.11        143.9     0.051        27.5                               N/A         H                                  
J1628.2+3614      PGC058209                  MCG+06-36-044              Sy2            247.04    36.15     35.79     0.11        143.9     0.051        10.5                               N/A         H                                  
J2322.5-0646      PGC1029085                 2MASXJ23222444-0645375     Sy2            350.70    -6.74     35.79     0.11        143.9     0.051        8.8                                N/A         H                                  
J0602.2+2829      PGC3095730                 IRAS05589+2828             Sy1.2          90.54     28.47     35.81     0.11        145.2     0.051        62.3                               N/A         H                                  
J1049.4+2258      PGC032398                  Mrk417                     Sy2            162.38    22.97     35.81     0.11        145.2     0.051        33.1                               N/A         H                                  
J0000.5+3251      IC5373                     IC5373                     UnknownAGN     0.13      32.85     35.81     0.11        145.2     0.051        8.8                                N/A         H                                  
J0923.7+2255      PGC026614                  MCG+04-22-042              Sy1.2          140.94    22.92     35.82     0.11        145.9     0.051        35.7                               N/A         H                                  
J1349.7+0209      PGC049078                  UM614                      Sy1.5          207.43    2.10      35.82     0.11        145.9     0.051        16.2                               N/A         H                                  
J1410.9-4229      PGC563146                  2MASXJ14104482-4228325     Sy2            212.71    -42.48    35.83     0.11        146.6     0.051        12.5                               N/A         H                                  
J2330.5-0228      PGC071626                  MCG-01-59-027              Sy1            352.62    -2.47     35.83     0.11        146.6     0.051        10.4                               N/A         H                                  
J0227.0+2346      PGC009305                  MCG+04-06-043              Sy1            36.76     23.75     35.84     0.11        147.2     0.051        9.6                                N/A         H                                  
J1845.9-5582      2MASXJ18454978-5548252     2MASXJ18454978-5548252     Sy2candidate   281.48    -55.83    35.85     0.11        147.9     0.051        12.9                               N/A         H                                  
J0755.7+3912      PGC022190                  Mrk382                     Sy1            118.93    39.13     35.85     0.11        147.9     0.051        11.0                               N/A         H                                  
J0519.5-4545      ESO252-018A                PICTORA                    Sy2            79.95     -45.78    35.86     0.11        148.6     0.051        37.3                               N/A         H                                  
J0814.3+0423      PGC023094                  CGCG031-072                Sy1.2          123.61    4.38      35.86     0.11        148.6     0.051        22.2                               N/A         H                                  
J0325.4-0619      PGC012801                  Mrk609                     Sy1.8          51.34     -6.20     35.86     0.11        148.6     0.051        12.3                               N/A         H                                  
J1618.7-5930      PGC3078020                 WKK6471                    Sy1            244.70    -59.48    35.87     0.11        149.3     0.051        23.6                               N/A         H                                  
J0505.8-2351      PGC178130                  2MASXJ05054575-2351139     Sy2            76.44     -23.86    35.88     0.11        150.0     0.051        58.3                               N/A         H                                  
J2259.7+2458      PGC070195                  KAZ320                     Sy1.5          344.87    24.92     35.88     0.11        150.0     0.051        24.6                               N/A         H                                  
J1334.8-2328      PGC047848                  ESO509-IG066               Sy1.9          203.66    -23.43    35.88     0.11        150.0     0.051        16.8                               N/A         H                                  
J0248.3+1202      PGC010628                  CGCG440-011NED01           UnknownAGN     42.07     12.02     35.89     0.10        150.7     0.046        14.4                               N/A         H                                  
J1313.1-1108      PGC045913                  IISZ010                    Sy1.5          198.31    -11.12    35.89     0.11        150.7     0.051        12.5                               N/A         H                                  
J0334.4-1515      PGC2816367                 2MASXJ03342453-1513402     Sy1.9          53.59     -15.26    35.89     0.11        150.7     0.051        11.2                               N/A         H                                  
J1840.8-5322      PGC161336                  2MASXJ18402764-5321581     Sy1.9          280.13    -53.34    35.89     0.11        150.7     0.051        10.9                               N/A         H                                  
J0819.2-2259      PGC080921                  RXJ0818.9-2252             Sy1            124.80    -22.91    35.89     0.11        150.7     0.051        8.9                                N/A         H                                  
J1044.1+7024      PGC031994                  MCG+12-10-067              Sy2            160.93    70.44     35.90     0.11        151.4     0.051        14.8                               N/A         H                                  
J1531.3+0727      NGC5940                    NGC5940                    Sy1            232.83    7.43      35.90     0.10        151.4     0.046        12.9                               N/A         H                                  
J1608.8+1229      IC1198                     Mrk871                     Sy1            242.21    12.30     35.90     0.10        151.4     0.046        11.3                               N/A         H                                  
J0302.2-2334      PGC170039                  2MASXJ03021318-2335198     Sy1            45.46     -23.57    35.90     0.11        151.4     0.051        10.4                               N/A         H                                  
J1802.8-1455      N/A                        2MASXiJ1802473-145454      Sy1.2          270.70    -14.91    35.90     0.16        151.4     0.074        42.4                               N/A         N                                  
J2044.2-1045      PGC065282                  Mrk509                     Sy1.2          311.05    -10.73    35.91     0.10        152.1     0.046        100.1                              N/A         H                                  
J1654.0+3946      UGC10599                   Mrk501                     BeamedAGN      253.47    39.76     35.91     0.10        152.1     0.046        71.6                               N/A         H                                  
J1400.2+0503      PGC049845                  CGCG046-033                Sy1            210.06    5.01      35.91     0.13        152.1     0.060        12.6                               N/A         H                                  
J0804.6+1045      UGC04211                   MCG+02-21-013              Sy2            121.15    10.75     35.91     0.10        152.1     0.046        10.6                               N/A         H                                  
J0350.1-5019      N/A                        2MASXJ03502377-5018354     Sy2            57.63     -50.35    35.91     0.15        152.1     0.069        21.7                               N/A         N                                  
J0354.2+0250      N/A                        2MASXJ03540948+0249307     Sy1.5          58.55     2.83      35.92     0.15        152.8     0.069        10.7                               N/A         N                                  
J0436.3-1022      PGC015623                  Mrk618                     Sy1.2          69.10     -10.38    35.93     0.10        153.5     0.046        18.3                               N/A         H                                  
J1356.6-1932      ESO578-009                 ESO578-G009                Sy1.9          209.12    -19.53    35.93     0.10        153.5     0.046        13.9                               N/A         H                                  
J0300.2+1655      PGC3095614                 1RXSJ030007.6+163023       Sy1            45.04     16.55     35.93     0.10        153.5     0.046        11.3                               N/A         H                                  
J2307.9+2245      UGC12383                   SWIFTJ2307.9+2245          Sy2            346.96    22.75     35.94     0.10        154.2     0.046        16.5                               N/A         H                                  
J0747.6-7326      PGC255906                  2MASXJ07473839-7325533     Sy2            117.01    -73.45    35.94     0.10        154.2     0.046        12.5                               N/A         H                                  
J0438.2-1048      PGC015703                  MCG-02-12-050              Sy1.2          69.55     -10.78    35.95     0.10        154.9     0.046        18.1                               N/A         H                                  
J2325.5-3827      PGC089420                  LCRSB232242.2-384320       Sy2            351.36    -38.47    35.95     0.10        154.9     0.046        14.6                               N/A         H                                  
J0308.2-2258      NGC1229                    NGC1229                    Sy2            47.03     -22.96    35.96     0.10        155.6     0.046        13.8                               N/A         H                                  
J0959.9+1303      NGC3080                    NGC3080                    Sy1            149.85    13.01     35.96     0.10        155.6     0.046        10.4                               N/A         H                                  
J1100.9+1104      PGC033214                  Mrk728                     Sy1.5          165.22    11.14     35.98     0.10        157.0     0.046        10.4                               N/A         H                                  
J0925.0+5218      PGC026709                  Mrk110                     Sy1.5          141.31    52.28     36.00     0.10        158.5     0.046        61.0                               N/A         H                                  
J1200.8+0650      PGC037894                  2MASXJ12005792+0648226     Sy2            180.22    6.81      36.00     0.10        158.5     0.046        21.6                               N/A         H                                  
J1506.7+0353A     PGC053898                  Mrk1392                    Sy1.5          226.51    3.71      36.01     0.10        159.2     0.046        18.8                               N/A         H                                  
J1315.8+4420      PGC046101                  UGC08327NED02              Sy2            198.83    44.40     36.01     0.10        159.2     0.046        16.2                               N/A         H                                  
J0051.6+2928      UGC00524                   MCG+05-03-013              Sy1            12.90     29.48     36.01     0.10        159.2     0.046        10.2                               N/A         H                                  
J0645.9+5303      UGC03533                   UGC3533                    Sy2            101.52    53.05     36.01     0.10        159.2     0.046        10.1                               N/A         H                                  
J0547.3+5042      PGC097119                  2MASXJ05471492+5038251     Sy2            86.80     50.65     36.02     0.10        160.0     0.046        22.0                               N/A         H                                  
J0959.7-3112      PGC154502                  2MASXJ09594263-3112581     Sy1            149.94    -31.21    36.02     0.10        160.0     0.046        15.7                               N/A         H                                  
J1741.9-1211      N/A                        2E1739.1-1210              Sy1            265.47    -12.20    36.02     0.15        160.0     0.069        41.5                               N/A         N                                  
J1826.1-0710      N/A                        1RXSJ182557.5-071021       Sy1            276.50    -7.16     36.02     0.15        160.0     0.069        19.3                               N/A         N                                  
J1447.5-6327      N/A                        IGRJ14471-6319             Sy2            221.88    -63.28    36.02     0.15        160.0     0.069        8.6                                N/A         N                                  
J1921.1-5842      ESO141-055                 ESO141-G055                Sy1.2          290.33    -58.70    36.03     0.10        160.7     0.046        58.8                               N/A         H                                  
J1239.3-1611      PGC170194                  LEDA170194                 Sy2            189.79    -16.18    36.03     0.10        160.7     0.046        35.3                               N/A         H                                  
J0855.6+6425      PGC025044                  MCG+11-11-032              Sy2            133.88    64.41     36.05     0.10        162.2     0.046        16.0                               N/A         H                                  
J1701.1+2940      PGC059440                  Mrk504                     Sy1            255.28    29.40     36.05     0.10        162.2     0.046        9.0                                N/A         H                                  
J1504.2+1025      PGC053765                  Mrk841                     Sy1.2          226.01    10.45     36.06     0.10        162.9     0.046        33.3                               N/A         H                                  
