#x, y
4.915102770330652, 4.3196544276457886e-11
24.575513851653263, 2.8725701943844493e-11
44.68275245755138, 2.0302375809935207e-11
64.7899910634495, 1.511879049676026e-11
84.0035746201966, 1.1663066954643629e-11
104.11081322609472, 9.287257019438445e-12
123.77122430741733, 7.55939524838013e-12
143.43163538873995, 6.2634989200863936e-12
193.02949061662198, 4.1036717062634994e-12
242.62734584450402, 2.915766738660907e-12
292.225201072386, 2.159827213822894e-12
341.3762287756926, 1.7278617710583154e-12
390.9740840035746, 1.2958963282937365e-12
440.57193923145667, 1.079913606911447e-12
490.1697944593387, 8.639308855291577e-13
539.7676496872207, 7.55939524838013e-13
