# lg(E/GeV)  E^2 (GeV cm-2 sr-1 s-1)  (zmax = 1, m = 3) 
3.6500 	 3.4684E-12 	  
3.6644 	 3.5119E-12 	  
3.6789 	 3.5530E-12 	  
3.6933 	 3.5919E-12 	  
3.7077 	 3.6284E-12 	  
3.7221 	 3.6627E-12 	  
3.7366 	 3.6948E-12 	  
3.7510 	 3.7247E-12 	  
3.7654 	 3.7524E-12 	  
3.7799 	 3.7779E-12 	  
3.7943 	 3.8014E-12 	  
3.8087 	 3.8227E-12 	  
3.8231 	 3.8420E-12 	  
3.8376 	 3.8593E-12 	  
3.8520 	 3.8746E-12 	  
3.8664 	 3.8879E-12 	  
3.8809 	 3.8992E-12 	  
3.8953 	 3.9087E-12 	  
3.9097 	 3.9162E-12 	  
3.9241 	 3.9219E-12 	  
3.9386 	 3.9258E-12 	  
3.9530 	 3.9279E-12 	  
3.9674 	 3.9281E-12 	  
3.9819 	 3.9267E-12 	  
3.9963 	 3.9235E-12 	  
4.0107 	 3.9186E-12 	  
4.0252 	 3.9121E-12 	  
4.0396 	 3.9040E-12 	  
4.0540 	 3.8942E-12 	  
4.0684 	 3.8829E-12 	  
4.0829 	 3.8700E-12 	  
4.0973 	 3.8556E-12 	  
4.1117 	 3.8397E-12 	  
4.1262 	 3.8223E-12 	  
4.1406 	 3.8035E-12 	  
4.1550 	 3.7833E-12 	  
4.1694 	 3.7618E-12 	  
4.1839 	 3.7388E-12 	  
4.1983 	 3.7146E-12 	  
4.2127 	 3.6891E-12 	  
4.2272 	 3.6623E-12 	  
4.2416 	 3.6342E-12 	  
4.2560 	 3.6050E-12 	  
4.2704 	 3.5747E-12 	  
4.2849 	 3.5436E-12 	  
4.2993 	 3.5120E-12 	  
4.3137 	 3.4802E-12 	  
4.3282 	 3.4484E-12 	  
4.3426 	 3.4169E-12 	  
4.3570 	 3.3860E-12 	  
4.3714 	 3.3560E-12 	  
4.3859 	 3.3272E-12 	  
4.4003 	 3.2998E-12 	  
4.4147 	 3.2741E-12 	  
4.4292 	 3.2504E-12 	  
4.4436 	 3.2290E-12 	  
4.4580 	 3.2102E-12 	  
4.4724 	 3.1942E-12 	  
4.4869 	 3.1813E-12 	  
4.5013 	 3.1718E-12 	  
4.5157 	 3.1660E-12 	  
4.5302 	 3.1641E-12 	  
4.5446 	 3.1665E-12 	  
4.5590 	 3.1734E-12 	  
4.5734 	 3.1845E-12 	  
4.5879 	 3.1995E-12 	  
4.6023 	 3.2177E-12 	  
4.6167 	 3.2388E-12 	  
4.6312 	 3.2621E-12 	  
4.6456 	 3.2872E-12 	  
4.6600 	 3.3136E-12 	  
4.6744 	 3.3408E-12 	  
4.6889 	 3.3682E-12 	  
4.7033 	 3.3954E-12 	  
4.7177 	 3.4218E-12 	  
4.7322 	 3.4471E-12 	  
4.7466 	 3.4705E-12 	  
4.7610 	 3.4917E-12 	  
4.7755 	 3.5102E-12 	  
4.7899 	 3.5254E-12 	  
4.8043 	 3.5369E-12 	  
4.8187 	 3.5440E-12 	  
4.8332 	 3.5464E-12 	  
4.8476 	 3.5436E-12 	  
4.8620 	 3.5350E-12 	  
4.8765 	 3.5210E-12 	  
4.8909 	 3.5021E-12 	  
4.9053 	 3.4788E-12 	  
4.9197 	 3.4515E-12 	  
4.9342 	 3.4209E-12 	  
4.9486 	 3.3874E-12 	  
4.9630 	 3.3515E-12 	  
4.9775 	 3.3138E-12 	  
4.9919 	 3.2747E-12 	  
5.0063 	 3.2348E-12 	  
5.0207 	 3.1946E-12 	  
5.0352 	 3.1545E-12 	  
5.0496 	 3.1152E-12 	  
5.0640 	 3.0771E-12 	  
5.0785 	 3.0407E-12 	  
5.0929 	 3.0065E-12 	  
5.1073 	 2.9751E-12 	  
5.1217 	 2.9469E-12 	  
5.1362 	 2.9225E-12 	  
