# lg(E/GeV)  E^2 (GeV cm-2 sr-1 s-1)  (zmax = 5, m = 5) 
3.6500 	     5.0285E-11 
3.6644 	     4.9836E-11 
3.6789 	     4.9495E-11 
3.6933 	     4.9258E-11 
3.7077 	     4.9119E-11 
3.7221 	     4.9074E-11 
3.7366 	     4.9119E-11 
3.7510 	     4.9249E-11 
3.7654 	     4.9458E-11 
3.7799 	     4.9743E-11 
3.7943 	     5.0099E-11 
3.8087 	     5.0520E-11 
3.8231 	     5.1003E-11 
3.8376 	     5.1543E-11 
3.8520 	     5.2135E-11 
3.8664 	     5.2774E-11 
3.8809 	     5.3457E-11 
3.8953 	     5.4177E-11 
3.9097 	     5.4930E-11 
3.9241 	     5.5713E-11 
3.9386 	     5.6519E-11 
3.9530 	     5.7345E-11 
3.9674 	     5.8186E-11 
3.9819 	     5.9037E-11 
3.9963 	     5.9894E-11 
4.0107 	     6.0751E-11 
4.0252 	     6.1604E-11 
4.0396 	     6.2449E-11 
4.0540 	     6.3281E-11 
4.0684 	     6.4095E-11 
4.0829 	     6.4886E-11 
4.0973 	     6.5651E-11 
4.1117 	     6.6383E-11 
4.1262 	     6.7079E-11 
4.1406 	     6.7734E-11 
4.1550 	     6.8343E-11 
4.1694 	     6.8902E-11 
4.1839 	     6.9405E-11 
4.1983 	     6.9849E-11 
4.2127 	     7.0228E-11 
4.2272 	     7.0539E-11 
4.2416 	     7.0775E-11 
4.2560 	     7.0933E-11 
4.2704 	     7.1015E-11 
4.2849 	     7.1029E-11 
4.2993 	     7.0985E-11 
4.3137 	     7.0894E-11 
4.3282 	     7.0764E-11 
4.3426 	     7.0606E-11 
4.3570 	     7.0429E-11 
4.3714 	     7.0242E-11 
4.3859 	     7.0057E-11 
4.4003 	     6.9881E-11 
4.4147 	     6.9726E-11 
4.4292 	     6.9600E-11 
4.4436 	     6.9513E-11 
4.4580 	     6.9476E-11 
4.4724 	     6.9497E-11 
4.4869 	     6.9587E-11 
4.5013 	     6.9755E-11 
4.5157 	     7.0011E-11 
4.5302 	     7.0365E-11 
4.5446 	     7.0825E-11 
4.5590 	     7.1404E-11 
4.5734 	     7.2119E-11 
4.5879 	     7.2998E-11 
4.6023 	     7.4065E-11 
4.6167 	     7.5347E-11 
4.6312 	     7.6870E-11 
4.6456 	     7.8659E-11 
4.6600 	     8.0741E-11 
4.6744 	     8.3142E-11 
4.6889 	     8.5887E-11 
4.7033 	     8.9002E-11 
4.7177 	     9.2514E-11 
4.7322 	     9.6449E-11 
4.7466 	     1.0083E-10 
4.7610 	     1.0569E-10 
4.7755 	     1.1105E-10 
4.7899 	     1.1693E-10 
4.8043 	     1.2337E-10 
