3.008	-12.397
3.176	-12.197
3.383	-11.890
3.613	-11.530
3.723	-11.329
3.840	-11.127
3.953	-10.919
4.081	-10.672
4.183	-10.492
4.301	-10.266
4.406	-10.071
4.531	-9.870
4.641	-9.675
4.782	-9.459
4.889	-9.294
5.034	-9.092
5.162	-8.926
5.307	-8.742
5.465	-8.598
5.619	-8.461
5.764	-8.345
5.953	-8.255
6.115	-8.181
6.328	-8.161
6.505	-8.161
6.676	-8.174
6.868	-8.200
7.060	-8.213
7.236	-8.213
7.438	-8.186
7.607	-8.146
7.805	-8.096
7.983	-8.096
8.166	-8.128
8.337	-8.220
8.506	-8.324
8.652	-8.442
8.825	-8.590
8.975	-8.737
9.127	-8.880
9.273	-9.058
9.408	-9.262
9.518	-9.452
9.618	-9.689
9.702	-9.901
9.794	-10.129
9.863	-10.366
9.933	-10.613
9.995	-10.868
10.047	-11.095
10.102	-11.377
10.154	-11.656
10.191	-11.900
10.237	-12.185
10.274	-12.471
