1.0078012e18	2.9097600e-14
1.2459595e18	1.5901983e-14
1.5032861e18	9.7120256e-15
1.8324786e18	5.2351623e-15
2.3445878e18	2.7194705e-15
2.7700179e18	1.7153352e-15
3.3362620e18	1.0150250e-15
3.8927245e18	6.6932082e-16
4.7584648e18	3.9977186e-16
5.5891976e18	2.6108503e-16
7.1170373e18	1.4659345e-16
8.5659103e18	8.8896408e-17
9.7777576e18	6.2812448e-17
1.1907792e19	4.3962989e-17
1.4392275e19	3.0721457e-17
1.7731185e19	2.1295855e-17
2.2279782e19	1.4548948e-17
2.7038488e19	1.0359912e-17
3.1784768e19	7.5218744e-18
4.0520587e19	5.3612061e-18
5.2105403e19	3.6499684e-18
7.1318398e19	2.3675885e-18
9.1804628e19	1.5721167e-18
1.1751534e20	1.2236681e-18
1.5737549e20	9.4196796e-19
2.2370427e20	6.8576155e-19
2.8645489e20	5.2856088e-19
3.6878266e20	4.3330455e-19
4.7604690e20	3.5996349e-19
6.3997679e20	2.8518515e-19
9.6244974e20	2.0834076e-19
