3.0137e+0   1.0597e-10
3.4948e+0   2.3594e-10
4.1271e+0   6.9392e-10
4.6907e+0   1.5450e-9
5.2268e+0   3.0987e-9
5.6254e+0   4.8714e-9
5.9828e+0   6.6631e-9
6.2852e+0   8.2103e-9
6.5601e+0   9.1138e-9
6.7526e+0   9.1138e-9
6.9175e+0   9.1138e-9
7.1924e+0   8.2103e-9
7.4948e+0   6.4352e-9
7.7560e+0   4.3885e-9
8.0034e+0   2.6961e-9
8.1959e+0   1.7150e-9
8.4021e+0   9.4914e-10
8.5945e+0   4.8998e-10
8.7457e+0   2.5294e-10
8.9381e+0   1.0235e-10
9.0756e+0   4.5969e-11
9.2268e+0   1.7350e-11
9.3780e+0   5.6973e-12
9.5430e+0   2.2264e-12
9.6529e+0   1.9371e-12
9.7629e+0   1.8069e-12
9.9278e+0   1.0354e-12
