#i	X	Y	Z
0	-8.500	-0.000	-0.000
0	-8.500	-0.000	-0.000
0	-8.501	-0.000	-0.000
0	-8.504	-0.000	-0.002
0	-8.509	-0.000	-0.004
0	-8.514	0.000	-0.006
0	-8.518	0.001	-0.008
0	-8.523	0.003	-0.009
0	-8.527	0.005	-0.009
0	-8.532	0.008	-0.010
0	-8.536	0.011	-0.009
0	-8.540	0.014	-0.008
0	-8.544	0.016	-0.006
0	-8.547	0.019	-0.004
0	-8.550	0.021	-0.001
0	-8.551	0.022	-0.000
0	-8.552	0.022	0.001
0	-8.553	0.023	0.001
0	-8.556	0.024	0.005
0	-8.559	0.026	0.010
0	-8.561	0.027	0.015
0	-8.562	0.028	0.020
0	-8.563	0.029	0.026
0	-8.564	0.029	0.032
0	-8.564	0.030	0.038
0	-8.563	0.031	0.047
0	-8.563	0.032	0.052
0	-8.562	0.033	0.055
0	-8.562	0.035	0.059
0	-8.561	0.037	0.064
0	-8.560	0.040	0.068
0	-8.559	0.043	0.074
0	-8.557	0.046	0.079
0	-8.555	0.049	0.083
0	-8.552	0.053	0.087
0	-8.549	0.056	0.091
0	-8.546	0.061	0.095
0	-8.542	0.066	0.099
0	-8.541	0.068	0.100
0	-8.540	0.070	0.101
0	-8.539	0.072	0.102
0	-8.536	0.077	0.104
0	-8.533	0.083	0.107
0	-8.532	0.087	0.109
0	-8.531	0.091	0.111
0	-8.530	0.095	0.113
0	-8.530	0.103	0.117
0	-8.529	0.107	0.120
0	-8.528	0.112	0.124
0	-8.527	0.117	0.128
0	-8.526	0.119	0.131
0	-8.524	0.123	0.134
0	-8.522	0.126	0.137
0	-8.518	0.129	0.141
0	-8.515	0.132	0.144
0	-8.512	0.135	0.146
0	-8.507	0.138	0.149
0	-8.503	0.140	0.151
0	-8.499	0.141	0.152
0	-8.495	0.143	0.154
0	-8.490	0.145	0.155
0	-8.486	0.147	0.157
0	-8.481	0.148	0.159
0	-8.475	0.149	0.161
0	-8.470	0.149	0.164
0	-8.466	0.149	0.166
0	-8.460	0.147	0.170
0	-8.456	0.145	0.174
0	-8.451	0.143	0.177
0	-8.447	0.141	0.181
0	-8.442	0.139	0.185
0	-8.438	0.137	0.189
0	-8.435	0.135	0.193
0	-8.432	0.133	0.196
0	-8.430	0.132	0.198
0	-8.429	0.131	0.200
0	-8.428	0.130	0.201
0	-8.427	0.129	0.202
