#i	X	Y	Z
0	-8.425	0.126	0.205
0	-8.422	0.122	0.208
0	-8.418	0.118	0.211
0	-8.415	0.113	0.213
0	-8.410	0.107	0.214
0	-8.406	0.102	0.215
0	-8.404	0.101	0.216
0	-8.404	0.100	0.216
0	-8.402	0.099	0.216
0	-8.401	0.097	0.216
0	-8.398	0.095	0.217
0	-8.394	0.091	0.219
0	-8.389	0.086	0.220
0	-8.384	0.082	0.222
0	-8.380	0.077	0.225
0	-8.377	0.073	0.227
0	-8.374	0.069	0.230
0	-8.372	0.065	0.233
0	-8.370	0.060	0.236
0	-8.368	0.056	0.240
0	-8.366	0.053	0.243
0	-8.365	0.050	0.246
0	-8.363	0.046	0.252
0	-8.361	0.042	0.257
0	-8.360	0.039	0.261
0	-8.358	0.036	0.266
0	-8.356	0.033	0.270
0	-8.353	0.028	0.275
0	-8.350	0.024	0.279
0	-8.347	0.020	0.283
0	-8.344	0.016	0.286
0	-8.341	0.013	0.289
0	-8.338	0.010	0.292
0	-8.334	0.006	0.296
0	-8.330	0.003	0.301
0	-8.327	0.001	0.304
0	-8.326	0.000	0.305
0	-8.325	-0.001	0.307
0	-8.324	-0.002	0.309
0	-8.321	-0.004	0.312
0	-8.318	-0.007	0.317
0	-8.315	-0.010	0.321
0	-8.312	-0.014	0.326
0	-8.309	-0.017	0.331
0	-8.306	-0.019	0.334
0	-8.305	-0.021	0.336
0	-8.304	-0.021	0.337
0	-8.304	-0.022	0.338
0	-8.303	-0.022	0.339
0	-8.302	-0.023	0.342
0	-8.299	-0.025	0.346
0	-8.298	-0.026	0.350
0	-8.297	-0.028	0.353
0	-8.297	-0.030	0.357
0	-8.297	-0.033	0.361
0	-8.298	-0.038	0.363
0	-8.299	-0.044	0.365
0	-8.299	-0.050	0.366
0	-8.299	-0.057	0.365
0	-8.299	-0.062	0.364
0	-8.299	-0.066	0.363
0	-8.299	-0.070	0.360
0	-8.298	-0.074	0.358
0	-8.296	-0.077	0.355
0	-8.295	-0.080	0.352
0	-8.293	-0.082	0.350
0	-8.291	-0.084	0.347
0	-8.288	-0.087	0.344
0	-8.285	-0.090	0.339
0	-8.283	-0.092	0.335
0	-8.282	-0.093	0.331
0	-8.280	-0.093	0.328
0	-8.279	-0.093	0.325
0	-8.278	-0.093	0.322
0	-8.275	-0.092	0.317
0	-8.274	-0.091	0.313
0	-8.272	-0.089	0.309
0	-8.271	-0.088	0.306
0	-8.269	-0.087	0.301
0	-8.268	-0.087	0.297
0	-8.268	-0.087	0.294
0	-8.267	-0.087	0.290
0	-8.267	-0.087	0.286
0	-8.267	-0.089	0.282
0	-8.267	-0.090	0.278
0	-8.267	-0.092	0.274
0	-8.266	-0.094	0.270
0	-8.267	-0.097	0.265
0	-8.267	-0.100	0.261
0	-8.267	-0.103	0.257
0	-8.268	-0.106	0.254
0	-8.269	-0.109	0.250
0	-8.269	-0.113	0.246
0	-8.270	-0.116	0.243
0	-8.269	-0.118	0.240
0	-8.269	-0.121	0.237
0	-8.269	-0.123	0.233
0	-8.269	-0.126	0.230
0	-8.269	-0.129	0.226
0	-8.270	-0.132	0.222
0	-8.270	-0.134	0.218
0	-8.271	-0.136	0.214
0	-8.271	-0.138	0.210
0	-8.272	-0.139	0.206
0	-8.272	-0.140	0.202
0	-8.272	-0.140	0.200
0	-8.273	-0.140	0.195
0	-8.273	-0.140	0.190
0	-8.274	-0.139	0.185
0	-8.274	-0.139	0.182
0	-8.274	-0.138	0.178
0	-8.274	-0.137	0.174
0	-8.273	-0.135	0.169
0	-8.272	-0.135	0.165
0	-8.272	-0.134	0.161
0	-8.271	-0.134	0.158
0	-8.270	-0.134	0.152
0	-8.268	-0.134	0.147
0	-8.267	-0.134	0.140
0	-8.266	-0.134	0.135
0	-8.266	-0.133	0.131
0	-8.266	-0.134	0.127
0	-8.266	-0.134	0.120
0	-8.266	-0.134	0.114
0	-8.266	-0.134	0.110
0	-8.267	-0.134	0.104
0	-8.269	-0.134	0.101
0	-8.269	-0.134	0.100
0	-8.273	-0.135	0.095
0	-8.277	-0.138	0.092
0	-8.282	-0.141	0.089
0	-8.286	-0.146	0.089
0	-8.289	-0.149	0.089
0	-8.291	-0.152	0.090
0	-8.293	-0.154	0.091
0	-8.296	-0.160	0.094
0	-8.297	-0.165	0.098
0	-8.297	-0.167	0.099
0	-8.297	-0.168	0.100
0	-8.296	-0.170	0.102
0	-8.295	-0.173	0.104
0	-8.294	-0.174	0.107
0	-8.291	-0.175	0.110
0	-8.288	-0.176	0.112
0	-8.283	-0.176	0.114
0	-8.279	-0.175	0.114
0	-8.274	-0.174	0.113
0	-8.270	-0.172	0.110
0	-8.269	-0.169	0.105
0	-8.270	-0.168	0.101
0	-8.272	-0.167	0.097
0	-8.276	-0.167	0.095
0	-8.281	-0.167	0.093
0	-8.288	-0.168	0.094
0	-8.293	-0.170	0.097
0	-8.296	-0.171	0.099
0	-8.298	-0.173	0.102
0	-8.300	-0.174	0.105
0	-8.302	-0.175	0.112
0	-8.304	-0.175	0.118
0	-8.305	-0.174	0.123
0	-8.306	-0.172	0.127
0	-8.307	-0.169	0.129
0	-8.308	-0.166	0.131
0	-8.310	-0.162	0.133
0	-8.313	-0.158	0.134
0	-8.316	-0.153	0.133
0	-8.320	-0.150	0.130
0	-8.323	-0.148	0.127
0	-8.325	-0.148	0.123
0	-8.327	-0.148	0.119
0	-8.328	-0.149	0.114
0	-8.329	-0.150	0.110
0	-8.328	-0.152	0.106
0	-8.327	-0.155	0.101
0	-8.326	-0.157	0.098
0	-8.325	-0.160	0.094
0	-8.323	-0.164	0.090
0	-8.323	-0.168	0.087
0	-8.322	-0.173	0.084
0	-8.323	-0.178	0.082
0	-8.325	-0.184	0.079
0	-8.326	-0.189	0.078
0	-8.328	-0.193	0.077
0	-8.330	-0.197	0.076
0	-8.330	-0.200	0.076
0	-8.332	-0.203	0.075
0	-8.333	-0.206	0.074
0	-8.334	-0.210	0.073
0	-8.336	-0.214	0.071
0	-8.337	-0.219	0.069
0	-8.338	-0.223	0.067
0	-8.339	-0.227	0.065
0	-8.339	-0.230	0.063
0	-8.338	-0.234	0.060
0	-8.337	-0.238	0.057
0	-8.337	-0.241	0.054
0	-8.337	-0.245	0.050
0	-8.337	-0.248	0.048
0	-8.338	-0.251	0.046
0	-8.338	-0.254	0.043
0	-8.338	-0.258	0.040
0	-8.338	-0.261	0.038
0	-8.336	-0.266	0.035
0	-8.335	-0.269	0.031
0	-8.333	-0.272	0.028
0	-8.331	-0.273	0.025
0	-8.329	-0.275	0.021
0	-8.328	-0.275	0.018
0	-8.327	-0.277	0.014
0	-8.325	-0.278	0.010
0	-8.324	-0.279	0.005
0	-8.322	-0.281	0.000
0	-8.321	-0.282	-0.002
0	-8.321	-0.282	-0.004
0	-8.320	-0.283	-0.006
0	-8.320	-0.284	-0.009
0	-8.319	-0.284	-0.013
0	-8.319	-0.285	-0.017
0	-8.318	-0.286	-0.021
0	-8.318	-0.286	-0.025
0	-8.319	-0.285	-0.028
0	-8.319	-0.284	-0.033
0	-8.320	-0.283	-0.038
0	-8.321	-0.281	-0.043
0	-8.322	-0.280	-0.047
0	-8.323	-0.279	-0.051
0	-8.324	-0.278	-0.055
0	-8.325	-0.278	-0.059
0	-8.326	-0.278	-0.064
0	-8.325	-0.278	-0.070
0	-8.325	-0.278	-0.075
0	-8.324	-0.278	-0.079
0	-8.324	-0.278	-0.083
0	-8.324	-0.278	-0.086
0	-8.324	-0.278	-0.090
0	-8.325	-0.278	-0.094
0	-8.327	-0.278	-0.098
0	-8.328	-0.278	-0.099
0	-8.328	-0.278	-0.100
0	-8.329	-0.278	-0.101
0	-8.330	-0.278	-0.103
0	-8.332	-0.277	-0.106
0	-8.335	-0.276	-0.110
0	-8.338	-0.274	-0.114
0	-8.340	-0.270	-0.119
0	-8.340	-0.268	-0.123
0	-8.339	-0.265	-0.127
0	-8.337	-0.263	-0.130
0	-8.334	-0.260	-0.134
0	-8.332	-0.258	-0.139
0	-8.329	-0.257	-0.142
0	-8.327	-0.255	-0.147
0	-8.326	-0.254	-0.153
0	-8.327	-0.251	-0.158
0	-8.329	-0.248	-0.162
0	-8.331	-0.243	-0.166
0	-8.333	-0.238	-0.168
0	-8.336	-0.233	-0.169
0	-8.338	-0.229	-0.170
0	-8.341	-0.225	-0.169
0	-8.342	-0.224	-0.169
0	-8.342	-0.223	-0.169
0	-8.343	-0.222	-0.168
0	-8.343	-0.221	-0.168
0	-8.344	-0.220	-0.167
0	-8.348	-0.215	-0.164
0	-8.352	-0.211	-0.162
0	-8.357	-0.207	-0.159
0	-8.361	-0.203	-0.157
0	-8.366	-0.201	-0.156
0	-8.372	-0.197	-0.155
0	-8.378	-0.195	-0.155
0	-8.382	-0.193	-0.156
0	-8.387	-0.191	-0.157
0	-8.391	-0.189	-0.160
0	-8.396	-0.187	-0.162
0	-8.399	-0.184	-0.165
0	-8.403	-0.180	-0.167
0	-8.406	-0.176	-0.169
0	-8.409	-0.172	-0.171
0	-8.413	-0.167	-0.173
0	-8.416	-0.161	-0.175
0	-8.418	-0.157	-0.176
0	-8.420	-0.152	-0.178
0	-8.422	-0.148	-0.179
0	-8.424	-0.143	-0.180
0	-8.426	-0.136	-0.181
0	-8.427	-0.130	-0.182
0	-8.428	-0.122	-0.184
0	-8.428	-0.116	-0.185
0	-8.428	-0.110	-0.187
0	-8.428	-0.103	-0.189
0	-8.427	-0.097	-0.192
0	-8.426	-0.090	-0.195
0	-8.425	-0.085	-0.198
0	-8.424	-0.079	-0.201
0	-8.424	-0.073	-0.205
0	-8.425	-0.066	-0.210
0	-8.427	-0.059	-0.213
0	-8.429	-0.053	-0.217
0	-8.430	-0.050	-0.219
0	-8.431	-0.047	-0.221
0	-8.433	-0.040	-0.226
0	-8.434	-0.035	-0.230
0	-8.435	-0.030	-0.233
0	-8.436	-0.025	-0.237
0	-8.436	-0.021	-0.241
0	-8.436	-0.018	-0.245
0	-8.437	-0.014	-0.250
0	-8.436	-0.010	-0.254
0	-8.436	-0.006	-0.259
0	-8.435	-0.002	-0.264
0	-8.434	0.001	-0.269
0	-8.433	0.005	-0.275
0	-8.432	0.007	-0.279
0	-8.431	0.009	-0.284
0	-8.429	0.012	-0.290
0	-8.428	0.013	-0.295
0	-8.427	0.015	-0.302
0	-8.425	0.016	-0.308
0	-8.424	0.017	-0.314
0	-8.422	0.017	-0.322
0	-8.421	0.017	-0.328
0	-8.419	0.016	-0.334
0	-8.416	0.015	-0.342
0	-8.413	0.014	-0.346
0	-8.411	0.013	-0.350
0	-8.407	0.012	-0.356
0	-8.403	0.012	-0.361
0	-8.400	0.011	-0.365
0	-8.397	0.012	-0.369
0	-8.394	0.012	-0.372
0	-8.390	0.013	-0.376
0	-8.385	0.013	-0.380
0	-8.381	0.014	-0.383
0	-8.377	0.014	-0.386
0	-8.372	0.015	-0.389
0	-8.367	0.016	-0.391
0	-8.360	0.017	-0.394
0	-8.354	0.019	-0.397
0	-8.349	0.021	-0.398
0	-8.342	0.024	-0.400
0	-8.342	0.024	-0.400
0	-8.341	0.024	-0.400
0	-8.340	0.025	-0.400
0	-8.335	0.027	-0.402
0	-8.330	0.030	-0.404
0	-8.326	0.033	-0.407
0	-8.322	0.039	-0.411
0	-8.320	0.044	-0.415
0	-8.319	0.049	-0.419
0	-8.319	0.053	-0.423
0	-8.321	0.058	-0.427
0	-8.324	0.063	-0.430
0	-8.327	0.066	-0.431
0	-8.331	0.070	-0.432
0	-8.336	0.073	-0.433
0	-8.341	0.076	-0.432
0	-8.346	0.079	-0.430
0	-8.350	0.082	-0.428
0	-8.353	0.086	-0.424
0	-8.356	0.091	-0.419
0	-8.358	0.095	-0.415
0	-8.359	0.099	-0.411
0	-8.360	0.103	-0.408
0	-8.360	0.108	-0.404
0	-8.359	0.113	-0.401
0	-8.358	0.117	-0.398
0	-8.356	0.123	-0.395
0	-8.353	0.129	-0.393
0	-8.350	0.134	-0.392
0	-8.346	0.139	-0.391
0	-8.342	0.144	-0.390
0	-8.338	0.149	-0.390
0	-8.334	0.153	-0.390
0	-8.331	0.158	-0.391
0	-8.328	0.162	-0.392
0	-8.325	0.167	-0.393
0	-8.322	0.175	-0.395
0	-8.321	0.182	-0.397
0	-8.322	0.187	-0.398
0	-8.323	0.193	-0.400
0	-8.325	0.198	-0.402
0	-8.326	0.199	-0.402
0	-8.326	0.200	-0.402
0	-8.326	0.201	-0.402
0	-8.327	0.202	-0.403
0	-8.328	0.204	-0.403
0	-8.330	0.213	-0.407
0	-8.332	0.217	-0.409
0	-8.332	0.221	-0.412
0	-8.333	0.226	-0.415
0	-8.333	0.231	-0.418
0	-8.332	0.237	-0.421
0	-8.330	0.242	-0.424
0	-8.328	0.246	-0.426
0	-8.325	0.250	-0.429
0	-8.321	0.255	-0.432
0	-8.316	0.259	-0.435
0	-8.311	0.262	-0.438
0	-8.307	0.264	-0.441
0	-8.303	0.265	-0.443
0	-8.298	0.266	-0.446
0	-8.294	0.267	-0.449
0	-8.288	0.266	-0.453
0	-8.283	0.266	-0.456
0	-8.277	0.264	-0.459
0	-8.271	0.263	-0.462
0	-8.266	0.261	-0.464
0	-8.260	0.260	-0.467
0	-8.254	0.258	-0.469
0	-8.248	0.257	-0.472
0	-8.244	0.257	-0.473
0	-8.241	0.256	-0.474
0	-8.237	0.256	-0.475
0	-8.233	0.255	-0.476
0	-8.228	0.255	-0.478
0	-8.224	0.255	-0.480
0	-8.221	0.255	-0.482
0	-8.219	0.256	-0.484
0	-8.215	0.257	-0.489
0	-8.210	0.259	-0.494
0	-8.208	0.261	-0.497
0	-8.205	0.265	-0.501
0	-8.203	0.269	-0.504
0	-8.201	0.274	-0.506
0	-8.200	0.276	-0.507
0	-8.199	0.278	-0.507
0	-8.199	0.280	-0.508
0	-8.198	0.285	-0.508
0	-8.196	0.290	-0.508
0	-8.195	0.294	-0.507
0	-8.194	0.298	-0.506
0	-8.194	0.303	-0.505
0	-8.193	0.308	-0.503
0	-8.193	0.311	-0.502
0	-8.193	0.314	-0.501
0	-8.193	0.315	-0.500
0	-8.194	0.318	-0.498
0	-8.194	0.322	-0.496
0	-8.195	0.325	-0.493
0	-8.197	0.329	-0.490
0	-8.198	0.333	-0.486
0	-8.201	0.335	-0.482
0	-8.204	0.337	-0.478
0	-8.207	0.338	-0.474
0	-8.210	0.338	-0.470
0	-8.212	0.337	-0.466
0	-8.214	0.336	-0.462
0	-8.216	0.335	-0.457
0	-8.217	0.333	-0.453
0	-8.217	0.332	-0.449
0	-8.216	0.331	-0.445
0	-8.216	0.330	-0.442
0	-8.214	0.329	-0.437
0	-8.213	0.329	-0.433
0	-8.212	0.330	-0.429
0	-8.210	0.331	-0.425
0	-8.208	0.334	-0.421
0	-8.207	0.337	-0.418
0	-8.206	0.341	-0.415
0	-8.206	0.346	-0.413
0	-8.206	0.350	-0.413
0	-8.207	0.355	-0.413
0	-8.209	0.361	-0.414
0	-8.213	0.366	-0.415
0	-8.215	0.368	-0.416
0	-8.216	0.368	-0.416
0	-8.216	0.368	-0.416
0	-8.217	0.368	-0.417
0	-8.218	0.369	-0.417
0	-8.220	0.369	-0.417
0	-8.228	0.371	-0.418
0	-8.235	0.371	-0.416
0	-8.241	0.371	-0.414
0	-8.246	0.372	-0.411
0	-8.251	0.373	-0.408
0	-8.255	0.373	-0.405
0	-8.259	0.374	-0.402
0	-8.262	0.374	-0.398
0	-8.265	0.374	-0.394
0	-8.269	0.374	-0.389
0	-8.270	0.372	-0.385
0	-8.272	0.369	-0.378
0	-8.272	0.366	-0.374
0	-8.271	0.363	-0.370
0	-8.269	0.358	-0.366
0	-8.265	0.353	-0.364
0	-8.261	0.349	-0.364
0	-8.258	0.347	-0.365
0	-8.254	0.344	-0.368
0	-8.250	0.341	-0.373
0	-8.248	0.339	-0.378
0	-8.246	0.338	-0.385
0	-8.246	0.338	-0.390
0	-8.246	0.339	-0.395
0	-8.247	0.339	-0.399
0	-8.248	0.339	-0.403
0	-8.250	0.339	-0.408
0	-8.252	0.338	-0.411
0	-8.254	0.339	-0.414
0	-8.256	0.339	-0.418
0	-8.261	0.340	-0.424
0	-8.266	0.341	-0.429
0	-8.270	0.342	-0.434
0	-8.275	0.343	-0.440
0	-8.281	0.344	-0.446
0	-8.285	0.344	-0.450
0	-8.290	0.345	-0.454
0	-8.295	0.345	-0.457
0	-8.298	0.345	-0.459
0	-8.299	0.345	-0.460
0	-8.300	0.345	-0.460
0	-8.301	0.345	-0.461
0	-8.302	0.345	-0.461
0	-8.306	0.345	-0.463
0	-8.311	0.345	-0.466
0	-8.315	0.345	-0.469
0	-8.319	0.345	-0.471
0	-8.324	0.345	-0.474
0	-8.329	0.346	-0.477
0	-8.333	0.347	-0.479
0	-8.337	0.348	-0.481
0	-8.341	0.349	-0.483
0	-8.346	0.351	-0.485
0	-8.351	0.353	-0.487
0	-8.357	0.356	-0.491
0	-8.361	0.358	-0.494
0	-8.366	0.361	-0.497
0	-8.371	0.366	-0.501
0	-8.375	0.369	-0.504
0	-8.378	0.374	-0.506
0	-8.381	0.378	-0.508
0	-8.384	0.383	-0.509
0	-8.387	0.389	-0.510
0	-8.390	0.394	-0.510
0	-8.391	0.397	-0.509
0	-8.392	0.399	-0.509
0	-8.393	0.400	-0.509
0	-8.393	0.401	-0.509
0	-8.394	0.402	-0.509
0	-8.395	0.405	-0.509
0	-8.397	0.410	-0.507
0	-8.400	0.415	-0.505
0	-8.400	0.416	-0.505
0	-8.400	0.417	-0.504
0	-8.401	0.418	-0.503
0	-8.403	0.422	-0.500
0	-8.405	0.426	-0.497
0	-8.407	0.430	-0.493
0	-8.408	0.434	-0.490
0	-8.410	0.437	-0.485
0	-8.411	0.441	-0.481
0	-8.413	0.445	-0.477
0	-8.416	0.448	-0.473
0	-8.419	0.452	-0.470
0	-8.422	0.455	-0.468
0	-8.427	0.459	-0.466
0	-8.431	0.462	-0.464
0	-8.436	0.464	-0.463
0	-8.441	0.467	-0.463
0	-8.446	0.470	-0.463
0	-8.451	0.474	-0.462
0	-8.457	0.478	-0.462
0	-8.463	0.482	-0.461
0	-8.467	0.485	-0.461
0	-8.471	0.488	-0.461
0	-8.475	0.491	-0.460
0	-8.479	0.494	-0.460
0	-8.484	0.497	-0.460
0	-8.489	0.501	-0.459
0	-8.492	0.504	-0.458
0	-8.495	0.508	-0.457
0	-8.497	0.511	-0.455
0	-8.499	0.515	-0.453
0	-8.500	0.516	-0.452
0	-8.500	0.516	-0.452
0	-8.500	0.517	-0.451
0	-8.501	0.518	-0.451
0	-8.502	0.520	-0.450
0	-8.503	0.524	-0.447
0	-8.504	0.528	-0.444
0	-8.505	0.533	-0.441
0	-8.506	0.538	-0.438
0	-8.506	0.543	-0.435
0	-8.506	0.550	-0.432
0	-8.505	0.555	-0.429
0	-8.504	0.561	-0.426
0	-8.503	0.566	-0.423
0	-8.500	0.572	-0.420
0	-8.500	0.572	-0.419
0	-8.499	0.574	-0.418
0	-8.498	0.575	-0.417
0	-8.496	0.579	-0.413
0	-8.494	0.583	-0.410
0	-8.492	0.586	-0.407
0	-8.489	0.590	-0.402
0	-8.485	0.593	-0.398
0	-8.482	0.595	-0.394
0	-8.479	0.597	-0.391
0	-8.475	0.598	-0.386
0	-8.471	0.600	-0.382
0	-8.466	0.602	-0.377
0	-8.461	0.605	-0.371
0	-8.458	0.607	-0.367
0	-8.455	0.609	-0.362
0	-8.453	0.610	-0.358
0	-8.450	0.612	-0.354
0	-8.446	0.614	-0.348
0	-8.441	0.615	-0.343
0	-8.437	0.616	-0.339
0	-8.433	0.617	-0.337
0	-8.429	0.618	-0.335
0	-8.425	0.620	-0.333
0	-8.421	0.622	-0.332
0	-8.416	0.626	-0.330
0	-8.411	0.630	-0.328
0	-8.406	0.634	-0.325
0	-8.401	0.639	-0.323
0	-8.400	0.640	-0.323
0	-8.399	0.642	-0.322
0	-8.397	0.643	-0.321
0	-8.395	0.646	-0.320
0	-8.390	0.650	-0.319
0	-8.386	0.654	-0.318
0	-8.382	0.658	-0.318
0	-8.377	0.663	-0.319
0	-8.373	0.667	-0.320
0	-8.369	0.672	-0.321
0	-8.366	0.677	-0.323
0	-8.364	0.682	-0.325
0	-8.362	0.687	-0.326
0	-8.361	0.692	-0.327
0	-8.360	0.695	-0.328
0	-8.359	0.699	-0.328
0	-8.358	0.703	-0.328
0	-8.357	0.708	-0.327
0	-8.356	0.713	-0.325
0	-8.354	0.718	-0.323
0	-8.352	0.724	-0.319
0	-8.350	0.730	-0.315
0	-8.348	0.735	-0.312
0	-8.346	0.739	-0.309
0	-8.344	0.743	-0.306
0	-8.341	0.748	-0.302
0	-8.340	0.750	-0.301
0	-8.339	0.751	-0.300
0	-8.338	0.752	-0.299
0	-8.337	0.754	-0.298
0	-8.336	0.756	-0.296
0	-8.333	0.759	-0.293
0	-8.332	0.762	-0.289
0	-8.330	0.765	-0.284
0	-8.329	0.766	-0.281
0	-8.328	0.768	-0.276
0	-8.327	0.769	-0.271
0	-8.327	0.770	-0.266
0	-8.326	0.771	-0.260
0	-8.326	0.771	-0.254
0	-8.326	0.771	-0.248
0	-8.326	0.770	-0.242
0	-8.326	0.769	-0.237
0	-8.326	0.768	-0.233
0	-8.325	0.768	-0.229
0	-8.324	0.767	-0.225
0	-8.324	0.767	-0.221
0	-8.322	0.766	-0.216
0	-8.321	0.765	-0.211
0	-8.319	0.764	-0.205
0	-8.317	0.763	-0.198
0	-8.314	0.761	-0.194
0	-8.310	0.760	-0.190
0	-8.305	0.758	-0.186
0	-8.302	0.757	-0.185
0	-8.301	0.756	-0.184
0	-8.300	0.756	-0.184
0	-8.299	0.756	-0.184
0	-8.299	0.755	-0.183
0	-8.295	0.754	-0.182
0	-8.290	0.752	-0.181
0	-8.285	0.750	-0.182
0	-8.281	0.748	-0.183
0	-8.276	0.746	-0.185
0	-8.271	0.745	-0.188
0	-8.267	0.743	-0.192
0	-8.263	0.742	-0.196
0	-8.262	0.742	-0.198
0	-8.261	0.742	-0.199
0	-8.261	0.742	-0.200
0	-8.260	0.742	-0.201
0	-8.260	0.742	-0.201
0	-8.258	0.742	-0.205
0	-8.255	0.742	-0.210
0	-8.251	0.743	-0.215
0	-8.248	0.743	-0.222
0	-8.246	0.744	-0.227
0	-8.244	0.743	-0.234
0	-8.243	0.742	-0.240
0	-8.243	0.741	-0.246
0	-8.243	0.739	-0.251
0	-8.244	0.736	-0.257
0	-8.245	0.732	-0.262
0	-8.247	0.730	-0.266
0	-8.249	0.727	-0.270
0	-8.252	0.724	-0.274
0	-8.256	0.721	-0.278
0	-8.259	0.719	-0.281
0	-8.262	0.717	-0.284
0	-8.265	0.714	-0.287
0	-8.268	0.711	-0.291
0	-8.271	0.707	-0.295
0	-8.272	0.705	-0.299
0	-8.274	0.701	-0.303
0	-8.274	0.697	-0.307
0	-8.274	0.694	-0.311
0	-8.272	0.690	-0.316
0	-8.270	0.685	-0.320
0	-8.266	0.681	-0.324
0	-8.261	0.679	-0.327
0	-8.257	0.677	-0.330
0	-8.253	0.677	-0.332
0	-8.249	0.677	-0.334
0	-8.245	0.677	-0.336
0	-8.240	0.678	-0.337
0	-8.236	0.679	-0.339
0	-8.233	0.681	-0.340
0	-8.229	0.683	-0.342
0	-8.225	0.686	-0.345
0	-8.221	0.689	-0.348
0	-8.218	0.692	-0.351
0	-8.215	0.696	-0.354
0	-8.213	0.700	-0.359
0	-8.210	0.703	-0.364
0	-8.209	0.706	-0.369
0	-8.208	0.709	-0.374
0	-8.208	0.711	-0.379
0	-8.209	0.713	-0.384
0	-8.210	0.715	-0.389
0	-8.212	0.717	-0.394
0	-8.213	0.717	-0.397
0	-8.213	0.717	-0.399
0	-8.214	0.718	-0.400
0	-8.214	0.718	-0.401
0	-8.215	0.718	-0.401
0	-8.216	0.718	-0.405
0	-8.219	0.718	-0.410
0	-8.222	0.718	-0.414
0	-8.227	0.718	-0.419
0	-8.231	0.717	-0.423
0	-8.235	0.716	-0.425
0	-8.239	0.716	-0.426
0	-8.244	0.715	-0.427
0	-8.250	0.713	-0.426
0	-8.256	0.711	-0.424
0	-8.261	0.708	-0.421
0	-8.265	0.706	-0.417
0	-8.269	0.704	-0.413
0	-8.271	0.702	-0.409
0	-8.274	0.700	-0.404
0	-8.274	0.700	-0.403
0	-8.275	0.699	-0.403
0	-8.277	0.698	-0.399
0	-8.279	0.696	-0.394
0	-8.282	0.695	-0.388
0	-8.284	0.695	-0.382
0	-8.286	0.695	-0.375
0	-8.288	0.696	-0.369
0	-8.289	0.697	-0.363
0	-8.291	0.699	-0.355
0	-8.293	0.700	-0.348
0	-8.296	0.701	-0.342
0	-8.297	0.702	-0.337
0	-8.299	0.702	-0.332
0	-8.300	0.702	-0.331
0	-8.300	0.702	-0.330
0	-8.301	0.702	-0.329
0	-8.302	0.702	-0.328
0	-8.304	0.701	-0.322
0	-8.306	0.700	-0.316
0	-8.308	0.696	-0.310
0	-8.309	0.692	-0.305
0	-8.310	0.688	-0.301
0	-8.311	0.684	-0.297
0	-8.312	0.679	-0.295
0	-8.312	0.674	-0.293
0	-8.312	0.669	-0.291
0	-8.311	0.665	-0.290
0	-8.311	0.660	-0.290
0	-8.309	0.654	-0.289
0	-8.308	0.650	-0.288
0	-8.307	0.645	-0.289
0	-8.306	0.638	-0.289
0	-8.304	0.633	-0.291
0	-8.303	0.627	-0.293
