#i	X	Y	Z
0	-8.500	0.000	0.000
0	-8.500	0.000	0.000
0	-8.499	0.000	0.000
0	-8.493	0.000	0.002
0	-8.484	0.001	0.005
0	-8.473	0.001	0.008
0	-8.460	0.002	0.012
0	-8.445	0.002	0.016
0	-8.431	0.002	0.020
0	-8.416	0.002	0.024
0	-8.405	0.002	0.027
0	-8.396	0.002	0.030
0	-8.387	0.002	0.033
0	-8.378	0.002	0.036
0	-8.367	0.002	0.040
0	-8.354	0.002	0.045
0	-8.342	0.003	0.049
0	-8.331	0.004	0.054
0	-8.319	0.005	0.058
0	-8.306	0.006	0.063
0	-8.299	0.007	0.065
0	-8.290	0.007	0.068
0	-8.279	0.008	0.072
0	-8.267	0.009	0.076
0	-8.255	0.009	0.079
0	-8.244	0.008	0.081
0	-8.233	0.008	0.083
0	-8.223	0.007	0.084
0	-8.211	0.006	0.085
0	-8.200	0.005	0.085
0	-8.191	0.004	0.085
0	-8.182	0.003	0.085
0	-8.172	0.002	0.084
0	-8.162	0.001	0.084
0	-8.155	-0.000	0.083
0	-8.148	-0.001	0.082
0	-8.139	-0.002	0.081
0	-8.130	-0.003	0.080
0	-8.121	-0.004	0.079
0	-8.112	-0.004	0.079
0	-8.102	-0.004	0.078
0	-8.092	-0.004	0.078
0	-8.083	-0.004	0.078
0	-8.070	-0.002	0.078
0	-8.064	-0.002	0.078
0	-8.057	-0.001	0.078
0	-8.050	-0.001	0.077
0	-8.042	-0.001	0.077
0	-8.034	-0.001	0.077
0	-8.026	-0.001	0.077
0	-8.018	-0.001	0.077
0	-8.008	-0.002	0.077
0	-7.999	-0.002	0.076
0	-7.989	-0.003	0.076
0	-7.979	-0.004	0.076
0	-7.969	-0.006	0.076
0	-7.959	-0.007	0.076
0	-7.951	-0.008	0.076
0	-7.942	-0.009	0.076
0	-7.932	-0.010	0.077
0	-7.923	-0.011	0.078
0	-7.914	-0.013	0.079
0	-7.904	-0.015	0.080
0	-7.895	-0.017	0.082
0	-7.886	-0.019	0.085
0	-7.876	-0.022	0.087
0	-7.866	-0.025	0.090
0	-7.855	-0.027	0.092
0	-7.848	-0.029	0.094
0	-7.839	-0.032	0.095
0	-7.832	-0.034	0.097
0	-7.823	-0.037	0.099
0	-7.816	-0.039	0.100
0	-7.809	-0.041	0.101
0	-7.801	-0.044	0.103
0	-7.792	-0.047	0.104
0	-7.783	-0.051	0.105
